Indicadores municipales de sostenibilidad: Tasa de afil.a la S.S. según Grupo Cotización:Oficiales de Producción (% sobre total personas afiliadas);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
48094;Igorre;30,01;29,53;29,73;32,52;31,63;32,97;32,84;31,70;31,48;32,91;32,86;33,97
20044;Ikaztegieta;43,48;43,26;49,62;45,21;43,36;43,57;41,22;43,41;44,36;47,37;42,52;41,61
20045;Irun;30,56;30,02;30,23;31,00;31,08;30,95;30,42;30,20;29,56;29,84;30,64;31,16
20046;Irura;39,60;39,58;38,01;38,97;37,81;38,55;39,87;38,53;38,71;37,84;37,33;38,67
01027;Iruraiz-Gauna;31,32;31,03;29,81;30,95;33,75;33,99;32,14;31,21;30,30;32,33;36,09;33,09
01901;Iruña Oka/Iruña de Oca;39,91;39,88;39,38;40,71;41,09;42,19;40,52;39,88;41,57;42,53;43,36;42,37
48049;Ispaster;21,05;21,08;20,67;25,00;24,10;27,50;26,67;28,57;33,75;34,19;36,60;40,82
20047;Itsasondo;44,86;45,13;46,91;43,78;46,34;47,06;49,73;50,00;49,11;49,70;52,15;51,15
48910;Iurreta;41,29;41,13;40,69;41,98;41,25;43,27;42,76;40,88;42,06;40,66;41,50;41,82
48050;Izurtza;25,68;26,76;26,39;25,00;20,25;27,85;33,33;38,75;41,77;38,75;36,84;37,97
48022;Karrantza Harana/Valle de Carranza;42,21;41,70;37,91;38,79;40,18;39,84;40,83;37,19;36,57;38,78;41,30;42,36
48907;Kortezubi;18,90;18,64;21,19;21,77;19,33;18,18;18,10;24,11;26,42;23,30;26,73;29,81
01019;Kripan;25,93;31,25;25,00;27,78;18,18;23,53;23,53;30,00;24,00;26,09;29,17;27,78
01020;Kuartango;37,37;39,00;37,50;35,19;39,05;41,05;45,26;40,66;46,67;47,44;50,59;46,32
01028;Labastida/Bastida;37,89;31,01;30,39;32,97;32,25;34,08;35,08;31,76;36,32;34,91;34,45;31,94
01030;Lagrán;57,69;57,14;63,16;66,67;53,33;52,94;57,89;61,11;55,00;66,67;52,63;45,83
01031;Laguardia;26,26;26,32;25,79;26,96;25,72;23,36;22,03;22,07;23,73;23,61;23,48;23,28
01032;Lanciego/Lantziego;26,95;20,43;17,58;17,98;14,00;17,24;16,87;13,75;18,31;19,12;18,46;17,00
