Indicadores municipales de sostenibilidad: Personas extranjeras beneficiarias de Renta de Garantía de Ingresos (% personas extranjeras);;;;;;;;;;;
"";;;;;;;;;;;
Resumen de datos;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
48030;Etxebarria;8,00;10,26;10,23;10,47;9,20;13,92;18,84;21,28;25,49;28,89
20035;Ezkio-Itsaso;0,00;0,00;1,96;2,63;0,00;0,00;0,00;0,00;0,00;0,00
48906;Forua;0,00;2,13;1,85;1,79;5,56;4,08;2,27;2,22;6,82;10,87
48035;Fruiz;8,82;7,14;0,00;3,70;6,90;0,00;0,00;4,35;0,00;7,69
20038;Gabiria;2,22;0,00;3,33;3,45;4,00;0,00;0,00;0,00;0,00;0,00
20037;Gaintza;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48036;Galdakao;5,26;4,08;4,19;4,19;3,35;4,87;6,41;6,09;7,73;7,73
48037;Galdames;9,52;8,33;5,56;15,00;12,50;17,65;9,09;15,79;10,00;0,00
48038;Gamiz-Fika;5,26;7,89;5,41;2,63;0,00;5,56;4,65;4,35;2,38;5,13
48039;Garai;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48040;Gatika;3,39;4,26;0,00;0,00;0,00;6,98;6,38;5,77;4,17;4,76
48041;Gautegiz Arteaga;3,85;2,13;2,38;2,17;6,52;2,17;0,00;0,00;2,78;9,52
20907;Gaztelu;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48046;Gernika-Lumo;5,23;4,46;5,61;5,30;4,73;6,12;6,84;8,33;9,35;10,78
20039;Getaria;3,07;3,48;3,87;6,74;6,62;7,66;9,02;8,00;5,35;5,60
48044;Getxo;9,25;8,11;7,86;7,71;7,18;8,08;9,31;8,94;10,84;11,52
48047;Gizaburuaga;3,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48042;Gordexola;3,57;5,33;6,41;10,26;9,89;10,84;6,67;4,55;8,33;10,53
48043;Gorliz;4,61;3,16;4,37;5,43;5,28;3,80;5,14;5,53;6,19;5,65
48045;Güeñes;11,32;11,22;13,67;14,87;15,19;17,19;19,47;18,36;19,44;20,00
01056;Harana/Valle de Arana;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20040;Hernani;7,71;6,43;8,42;7,73;6,47;6,48;7,93;7,84;9,03;9,21
20041;Hernialde;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20036;Hondarribia;2,68;2,42;2,45;2,98;2,79;3,16;3,71;3,57;3,22;3,55
20042;Ibarra;5,64;4,64;6,09;8,47;7,79;7,93;10,65;10,40;12,38;12,38
48048;Ibarrangelu;4,17;7,14;11,54;11,54;9,52;12,50;15,38;14,29;15,38;9,09
20043;Idiazabal;3,78;2,29;4,38;5,16;3,85;2,27;2,27;6,11;6,72;6,98
48094;Igorre;9,15;9,26;9,91;9,65;9,44;8,14;10,55;8,59;10,11;9,83
20044;Ikaztegieta;11,43;12,70;12,70;10,91;12,50;9,26;4,26;8,82;9,76;9,38
20045;Irun;5,60;4,89;5,86;6,12;5,36;5,59;6,38;6,43;6,58;6,38
20046;Irura;4,76;5,38;6,56;8,72;4,92;6,92;9,62;10,26;7,14;6,78
01027;Iruraiz-Gauna;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,88;7,14;6,67
