"Indicadores municipales de sostenibilidad: Tasa de afiliación a la seguridad social por municipio de residencia: población 16-24 años (%habitantes) ";;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011
48058;Mallabia;29,73;27,63;20,55;28,00;35,90;30,23;35,44;22,99;16,33;21,65;12,77;19,32
48060;Markina-Xemein;22,02;21,07;17,50;23,77;22,16;23,67;22,67;20,24;20,43;16,56;15,20;23,31
48061;Maruri-Jatabe;13,46;19,35;11,11;16,92;9,84;5,88;6,35;10,34;6,90;10,17;10,61;12,50
48059;Mañaria;25,00;28,57;14,29;13,64;25,93;17,86;17,86;34,38;14,29;25,81;21,21;20,93
20901;Mendaro;22,27;22,90;15,82;19,21;16,96;17,20;20,27;18,49;15,24;15,69;21,85;26,09
48062;Mendata;24,39;15,38;12,50;13,79;14,29;13,64;28,57;22,22;23,81;36,36;30,43;30,43
48063;Mendexa;10,53;11,76;13,89;20,00;17,14;8,33;10,81;18,18;15,15;8,57;8,57;5,13
48064;Meñaka;25,00;15,69;26,67;32,50;27,27;13,51;21,21;21,62;8,11;15,91;7,14;6,82
01039;Moreda de Álava / Moreda Araba;58,82;29,41;15,00;21,74;28,57;20,00;25,93;18,52;13,79;12,50;10,71;26,67
48066;Morga;38,89;9,09;10,71;11,54;8,70;25,00;15,00;10,00;0,00;4,76;17,86;22,22
48068;Mundaka;14,63;19,44;21,24;21,30;20,00;15,04;15,45;6,67;8,94;6,40;4,35;11,57
48069;Mungia;24,49;20,46;17,08;20,95;19,62;19,57;16,80;13,45;13,42;11,72;13,11;15,69
48007;Munitibar-Arbatzegi Gerrikaitz-;32,14;21,43;21,62;28,95;21,62;19,44;12,12;13,79;17,65;11,43;12,12;26,67
48908;Murueta;14,29;20,51;19,44;16,22;15,79;3,70;3,70;4,17;0,00;0,00;0,00;5,00
48071;Muskiz;23,33;17,42;11,62;20,11;16,98;15,68;16,73;21,21;17,40;15,70;19,57;22,22
20057;Mutiloa;37,04;20,00;30,43;40,00;29,17;31,82;25,00;22,22;6,25;7,14;7,69;25,00
20056;Mutriku;23,19;25,22;20,92;24,71;26,35;26,53;23,87;24,38;21,77;16,88;16,16;17,20
48067;Muxika;14,65;14,81;15,79;21,05;18,85;19,44;19,78;20,88;17,98;10,13;10,13;12,66
48909;Nabarniz;0,00;6,25;11,11;21,43;12,50;18,75;5,26;0,00;5,56;5,26;16,67;11,76
01041;Navaridas;25,00;23,81;20,00;22,73;31,58;23,81;17,39;13,79;10,34;5,00;19,23;42,31
20063;Oiartzun;33,50;31,44;28,36;31,37;31,28;27,30;25,65;24,59;21,03;17,81;19,90;24,53
01042;Okondo;31,03;17,65;15,00;22,78;19,72;15,87;25,71;16,18;20,00;17,65;14,29;16,42
