Indicadores municipales de sostenibilidad: Tasa de afiliación a la Seguridad Social por municipio de residencia: Mujeres (% mujeres de 16 y más años);;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
20024;Bidania-Goiatz;54,76;59,31;58,45;58,59;61,05;63,24;61,50;53,50;50,50;49,75;47,34;43,13;41,18;38,81
48020;Bilbao;46,77;44,10;42,84;43,31;42,36;41,64;41,01;40,48;39,64;39,05;39,45;38,63;37,63;37,50
48021;Busturia;40,22;39,09;35,99;37,54;36,87;37,79;38,28;37,33;36,07;35,11;34,69;38,89;34,88;32,90
01017;Campezo/Kanpezu;46,09;40,00;41,11;46,49;45,32;44,93;40,87;36,98;35,12;32,65;31,26;32,46;31,88;33,48
20029;Deba;47,44;46,51;45,45;45,74;46,47;44,89;44,05;43,41;41,27;41,03;42,01;42,81;41,32;41,01
48901;Derio;51,60;50,25;48,00;51,26;49,80;47,84;47,72;48,03;46,01;44,83;44,64;44,88;45,31;44,64
48026;Dima;46,60;48,09;45,34;48,90;50,34;46,51;45,50;44,39;43,37;43,23;40,31;41,53;36,45;36,31
20069;Donostia / San Sebastián;51,10;47,77;47,03;46,80;46,16;45,54;44,84;44,22;43,40;42,81;42,77;42,41;41,70;41,84
48027;Durango;51,23;48,69;47,59;48,38;47,65;46,46;45,87;45,97;44,27;43,62;43,97;43,95;42,45;41,02
48028;Ea;36,84;37,60;36,62;37,91;38,33;34,63;34,06;32,16;31,89;29,14;31,48;30,65;26,77;25,57
20030;Eibar;47,65;45,74;44,81;45,27;44,75;43,86;42,17;41,43;40,52;39,08;39,39;40,63;39,62;39,67
48031;Elantxobe;36,02;31,10;35,00;38,46;33,75;33,12;31,18;27,78;28,89;23,28;22,96;29,06;23,50;23,42
01021;Elburgo/Burgelu;61,26;51,37;51,15;51,88;55,41;55,04;50,83;52,14;50,85;50,42;51,29;48,10;42,92;46,29
01022;Elciego;40,19;33,65;32,08;32,93;32,86;30,54;31,25;30,07;29,61;28,86;28,51;31,78;31,19;29,37
20031;Elduain;56,70;58,59;54,64;58,76;50,52;52,69;51,09;50,00;43,48;43,82;47,19;43,18;44,94;40,00
20033;Elgeta;58,17;54,24;55,83;53,93;52,54;50,44;52,06;49,89;46,80;49,67;46,32;44,78;43,86;41,48
20032;Elgoibar;48,83;47,62;46,90;46,58;45,36;45,11;44,06;42,87;41,86;41,11;40,81;41,51;40,64;40,15
48032;Elorrio;51,76;49,84;49,63;50,43;50,02;51,17;51,21;51,07;51,59;51,62;53,39;55,62;55,79;58,17
01023;Elvillar/Bilar;55,17;44,08;43,14;43,06;40,00;40,40;42,00;35,95;39,87;42,57;44,22;46,62;48,32;46,05
48902;Erandio;51,75;49,40;47,96;48,22;47,01;46,50;45,05;44,18;43,43;41,98;42,17;39,69;39,06;38,58
48033;Ereño;32,14;30,48;32,38;33,01;38,14;38,78;37,62;35,14;30,63;34,23;35,40;37,61;35,29;33,88
48034;Ermua;44,03;42,80;42,33;42,53;42,25;42,10;41,19;39,98;37,94;36,89;37,09;39,79;39,04;37,65
20067;Errenteria;50,06;48,18;46,90;48,38;47,91;47,11;46,03;45,73;44,67;44,00;44,32;43,43;42,93;42,92
20066;Errezil;64,38;68,57;61,54;61,50;53,25;52,42;53,39;52,56;49,57;49,57;48,67;48,48;46,72;43,78
01046;Erriberagoitia/Ribera Alta;40,20;36,70;33,72;41,11;37,54;36,92;40,77;36,13;36,86;38,11;37,36;34,60;34,16;33,96
48079;Errigoiti;43,62;41,88;40,54;40,96;42,86;46,81;38,74;35,03;33,50;33,01;30,19;31,05;25,00;26,99
20034;Eskoriatza;49,61;47,00;47,43;48,17;49,35;48,38;48,98;46,53;46,71;47,07;47,62;49,61;48,40;45,76
48029;Etxebarri;52,47;51,04;50,27;50,44;49,38;48,21;46,43;45,47;43,50;41,17;40,71;38,97;36,66;35,68
48030;Etxebarria;92,71;92,18;88,78;80,86;83,03;86,10;82,66;81,74;79,34;77,25;75,89;78,93;77,22;78,53
20035;Ezkio-Itsaso;57,09;54,83;51,76;57,85;52,82;49,37;48,98;45,67;41,34;41,60;41,20;40,32;36,00;35,74
48906;Forua;45,61;42,44;43,35;44,31;45,32;42,82;40,84;38,67;40,15;38,40;40,84;42,46;40,10;40,86
48035;Fruiz;56,47;54,59;53,10;52,94;51,87;47,51;48,62;46,85;47,75;46,61;46,85;44,55;46,60;42,62
20038;Gabiria;56,50;52,26;52,06;51,78;50,78;49,48;47,85;46,81;46,28;42,63;39,06;37,97;37,50;36,02
20037;Gaintza;54,55;53,33;55,56;50,00;48,89;48,89;54,55;63,16;55,26;53,85;42,11;43,90;30,43;39,13
48036;Galdakao;50,14;47,89;47,10;48,61;47,62;46,65;45,74;45,50;44,07;43,06;43,32;43,44;42,80;42,08
48037;Galdames;39,76;36,28;36,69;36,83;37,08;37,65;34,27;32,44;31,25;31,64;31,27;29,18;27,78;28,97
48038;Gamiz-Fika;53,65;49,09;49,00;48,49;46,78;43,31;44,52;43,79;40,52;39,51;40,21;41,94;36,11;38,22
48039;Garai;55,04;51,18;52,85;48,46;46,88;43,31;42,28;39,17;35,83;34,75;31,20;27,48;24,06;21,80
48040;Gatika;51,90;50,81;50,80;52,27;50,15;47,66;44,38;45,91;44,87;44,24;43,38;44,36;42,39;40,75
48041;Gautegiz Arteaga;46,98;45,05;44,06;46,76;45,53;47,85;42,82;40,36;40,10;41,42;40,69;37,70;35,00;34,14
20907;Gaztelu;56,14;47,46;39,66;44,64;49,09;50,91;45,28;41,51;47,17;40,68;37,93;39,66;36,07;39,66
48046;Gernika-Lumo;49,05;47,95;47,35;47,19;47,33;46,22;45,79;45,00;43,46;42,75;42,65;42,52;41,33;40,87
20039;Getaria;56,12;53,03;51,51;52,59;51,67;50,13;47,51;48,82;46,54;46,41;47,64;45,69;46,45;46,07
48044;Getxo;49,86;45,70;44,67;44,92;44,50;43,93;43,40;42,93;42,43;41,38;41,80;41,02;40,06;39,75
48047;Gizaburuaga;49,32;47,37;51,90;46,84;46,84;51,90;48,68;48,78;45,12;50,00;47,06;44,58;39,29;35,71
48042;Gordexola;50,71;48,68;47,73;44,97;43,62;42,03;42,33;40,90;40,77;36,92;37,62;37,60;34,44;33,86
48043;Gorliz;45,81;42,67;42,09;44,52;43,36;42,85;41,55;42,01;41,21;38,91;38,89;37,36;37,26;35,67
48045;Güeñes;48,46;47,10;46,16;45,40;43,19;41,97;40,43;40,28;39,62;37,89;37,49;38,56;38,28;36,67
01056;Harana/Valle de Arana;39,56;33,68;35,71;37,36;36,96;41,94;43,01;41,67;40,62;36,00;31,37;35,45;33,94;34,78
20040;Hernani;55,03;53,76;51,54;52,84;50,35;49,91;47,78;48,56;46,79;45,30;45,70;45,11;44,05;44,44
20041;Hernialde;55,80;47,86;53,62;59,52;68,80;66,94;63,28;58,99;62,59;62,94;57,75;53,10;47,22;48,91
20036;Hondarribia;47,68;44,92;44,44;46,20;45,13;44,24;42,99;42,08;41,29;40,65;40,12;40,52;39,84;39,90
20042;Ibarra;52,95;50,31;49,25;49,26;48,63;49,75;49,52;48,54;46,52;46,14;46,00;46,42;45,36;46,39
48048;Ibarrangelu;29,41;31,05;31,00;35,21;35,36;33,09;30,18;30,71;28,93;30,07;29,75;25,87;25,70;28,78
20043;Idiazabal;48,68;47,03;47,52;46,77;46,44;43,82;42,76;42,07;42,49;40,17;40,39;42,03;39,60;38,74
48094;Igorre;51,40;51,00;51,03;49,05;49,45;48,26;48,09;48,14;46,51;43,89;44,97;45,71;42,95;42,43
20044;Ikaztegieta;45,64;42,63;40,41;43,81;36,54;41,41;44,44;40,31;40,31;43,24;43,24;47,57;46,81;50,00
20045;Irun;49,40;46,74;45,07;44,30;43,70;42,61;41,82;41,10;40,00;39,26;38,97;39,22;38,48;38,10
20046;Irura;59,32;58,82;57,65;55,60;54,80;53,88;53,48;54,71;50,97;51,48;49,43;47,61;46,17;45,48
01027;Iruraiz-Gauna;49,12;50,00;47,14;50,93;50,48;50,24;50,00;53,50;50,00;47,50;45,50;44,93;41,75;42,71
01901;Iruña Oka/Iruña de Oca;57,68;53,31;51,82;53,33;51,16;51,47;51,90;51,50;48,50;44,61;43,63;44,01;44,52;41,19
48049;Ispaster;48,65;45,99;45,08;44,96;43,42;42,60;44,12;46,44;43,45;41,48;38,13;36,24;34,05;31,67
20047;Itsasondo;51,92;50,00;48,50;50,80;47,56;46,85;42,64;39,18;38,81;36,57;35,04;34,43;34,59;35,82
48910;Iurreta;47,77;45,13;44,09;45,32;44,79;43,81;43,53;40,92;40,18;40,02;40,37;38,82;36,72;35,68
48050;Izurtza;50,67;48,15;51,72;55,95;51,16;53,41;53,49;49,49;49,49;50,52;48,45;43,00;42,86;46,30
48022;Karrantza Harana/Valle de Carranza;40,75;36,26;34,72;35,29;33,86;33,45;34,30;31,75;33,00;32,82;32,20;33,25;32,70;33,25
48907;Kortezubi;50,27;50,84;49,46;50,00;49,72;49,44;50,28;46,07;44,50;45,26;45,90;45,56;40,00;39,55
01019;Kripan;53,16;37,50;34,18;38,96;35,53;33,78;32,00;32,43;29,73;27,40;24,05;39,47;33,33;27,03
01020;Kuartango;39,71;36,24;36,62;42,25;42,75;36,17;38,57;40,85;32,39;31,47;31,25;39,01;32,39;30,07
01028;Labastida/Bastida;42,97;30,25;31,11;31,22;32,17;32,74;30,57;30,05;29,53;29,57;29,48;32,30;33,45;35,03
01030;Lagrán;23,61;20,27;16,22;12,31;13,85;14,06;17,39;22,22;25,00;26,03;25,64;26,51;25,61;33,33
01031;Laguardia;55,57;46,92;46,53;49,68;47,81;46,36;50,64;45,74;45,43;43,97;42,55;45,84;41,05;39,15
01032;Lanciego/Lantziego;39,79;25,96;25,09;27,63;31,78;30,15;28,09;25,19;24,07;22,46;21,51;28,31;29,30;29,71
48051;Lanestosa;34,58;27,12;30,77;31,13;24,76;27,52;24,79;26,27;27,12;26,32;25,21;28,45;23,93;21,31
01902;Lantarón;32,90;23,30;22,52;26,88;26,76;27,19;25,99;24,93;21,74;23,45;24,38;23,78;23,20;20,91
01033;Lapuebla de Labarca;44,66;32,78;31,65;32,40;32,77;32,39;33,81;34,76;33,33;31,82;31,29;38,20;39,24;42,12
48052;Larrabetzu;52,46;51,41;48,55;52,98;54,64;54,28;54,59;53,08;50,64;48,40;47,16;48,25;46,21;43,37
20048;Larraul;68,09;62,64;61,11;59,77;53,49;51,16;50,00;45,78;40,96;44,05;45,24;35,37;37,35;32,94
20902;Lasarte-Oria;50,30;47,99;46,49;48,18;47,66;47,04;46,26;45,83;44,49;44,57;44,29;44,92;43,29;42,91
01036;Laudio/Llodio;46,73;44,99;43,39;44,99;44,22;43,51;42,34;40,84;39,81;39,68;39,87;41,00;39,03;39,27
48053;Laukiz;49,53;44,44;43,41;45,79;47,67;47,28;45,84;45,32;44,04;48,16;45,63;43,80;44,69;43,15
20049;Lazkao;51,03;49,57;48,36;48,79;47,13;46,80;45,80;45,36;43,04;41,68;41,34;42,01;39,65;39,93
20050;Leaburu;58,55;60,81;54,55;53,29;60,28;50,68;46,85;44,68;40,43;41,78;40,82;40,65;35,29;36,13
20051;Legazpi;47,70;46,50;45,28;45,72;44,27;43,11;41,93;41,03;40,22;39,32;38,86;40,70;39,39;39,16
20052;Legorreta;50,08;49,50;48,34;51,46;51,98;50,52;47,22;45,95;44,79;43,36;42,83;44,72;44,07;44,92
01058;Legutio;43,99;45,12;44,42;44,89;43,56;46,90;46,59;47,68;45,73;43,99;44,04;42,65;41,42;41,10
20068;Leintz-Gatzaga;63,77;63,51;64,94;55,00;52,94;53,66;50,59;54,44;47,78;51,72;46,88;48,98;46,88;45,74
48054;Leioa;52,97;50,38;48,84;49,19;48,21;47,36;46,69;46,95;46,00;45,38;45,66;43,79;42,81;41,89
48057;Lekeitio;44,82;43,68;43,14;42,61;41,94;41,66;40,05;40,19;39,74;38,19;37,95;38,32;37,07;35,69
48055;Lemoa;48,86;48,12;47,86;47,65;46,21;44,79;43,17;43,09;40,15;38,08;38,08;37,78;35,47;34,43
48056;Lemoiz;50,47;46,92;47,59;50,81;48,87;45,40;42,11;42,15;37,85;37,61;36,99;39,18;38,15;37,50
01034;Leza;36,26;33,33;36,36;36,05;33,33;35,80;33,73;30,77;35,16;34,94;34,12;31,11;34,48;37,08
48081;Lezama;56,03;54,61;51,81;55,12;54,40;53,38;52,33;52,69;52,49;50,29;50,43;47,67;43,66;41,59
20053;Lezo;54,02;53,56;51,86;54,13;52,85;52,44;51,35;51,17;48,24;47,01;46,83;48,05;45,71;45,03
20054;Lizartza;57,72;51,61;51,24;52,79;50,21;49,34;51,79;46,98;50,43;45,00;48,95;50,85;48,97;44,53
48903;Loiu;52,72;50,32;50,05;46,19;44,16;42,83;43,04;41,87;38,69;38,98;39,83;37,68;34,60;32,80
48058;Mallabia;48,91;45,17;44,22;46,01;47,92;48,05;48,67;47,63;45,26;46,84;46,18;48,62;47,51;46,00
48060;Markina-Xemein;51,65;51,02;49,83;48,95;48,20;48,77;47,25;47,21;46,82;45,86;43,13;44,12;42,99;44,34
48061;Maruri-Jatabe;46,82;44,01;45,23;45,61;47,93;48,41;47,38;48,21;47,19;45,22;43,97;42,04;45,00;42,86
