Indicadores municipales de sostenibilidad: Hombres parados de larga duración registrados en LANBIDE (% Hombres de 16 a 64 años);;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;
48090;Balmaseda;4,39;4,79;4,64;5,36;4,25;5,09;5,96;6,87;7,71;8,47;8,52;7,57;4,30;2,56;1,04;1,00;0,65
48013;Barakaldo;3,77;4,18;4,51;5,31;4,20;4,95;5,29;6,02;6,75;7,62;7,29;6,62;4,57;3,26;2,17;1,62;2,26
48014;Barrika;3,34;3,28;3,47;4,16;3,35;1,90;3,89;3,47;4,48;5,08;4,31;3,94;2,16;2,50;1,74;1,20;1,21
01013;Barrundia;1,44;1,44;1,40;1,98;1,71;2,23;2,21;2,17;1,97;3,10;2,49;1,40;2,51;0,86;1,10;0,89;0,00
48015;Basauri;3,96;4,15;4,23;5,33;4,42;4,43;4,54;5,87;6,49;7,40;7,07;5,77;3,87;3,38;2,19;1,42;1,46
01011;Baños de Ebro/Mañueta;0,76;0,75;0,71;0,00;0,00;0,00;0,88;0,00;0,00;0,00;1,74;0,90;0,00;0,00;0,00;0,00;0,00
20019;Beasain;1,76;1,74;1,75;2,27;1,60;1,73;1,87;2,07;2,94;3,39;3,61;3,14;2,53;2,38;1,49;0,65;0,64
48092;Bedia;2,96;3,39;2,67;2,73;2,92;3,54;3,03;5,07;4,79;4,23;4,20;3,04;1,55;3,19;0,95;0,32;0,00
20020;Beizama;0,00;4,44;0,00;2,13;1,92;0,00;0,00;1,79;1,82;1,96;1,85;6,12;1,82;1,37;0,00;0,00;0,00
20021;Belauntza;0,00;0,00;0,00;0,00;1,18;1,27;1,22;2,35;2,22;3,16;3,92;3,88;1,80;1,92;1,87;0,77;1,56
48016;Berango;1,63;1,76;2,47;3,21;2,25;1,86;2,07;2,91;2,84;3,61;3,77;3,39;2,05;2,61;1,03;0,89;1,47
01014;Berantevilla;1,74;1,20;2,45;0,64;2,00;1,32;2,53;3,80;1,27;4,58;1,85;1,24;1,27;0,63;0,00;0,00;0,00
20022;Berastegi;1,08;0,55;0,54;0,28;1,13;1,66;0,83;0,28;1,65;2,49;1,11;1,89;0,53;1,89;0,00;0,55;0,56
20074;Bergara;1,69;1,72;1,78;2,44;1,84;2,11;2,56;2,78;3,23;3,45;3,54;3,27;2,23;2,74;1,71;0,95;1,01
48017;Bermeo;3,02;3,04;3,09;4,06;3,35;3,62;3,69;3,83;4,21;4,62;4,64;4,00;3,13;1,71;1,19;0,54;0,96
01016;Bernedo;2,30;2,86;0,47;1,44;1,01;2,02;2,05;3,03;2,97;1,94;1,93;1,40;2,71;1,43;0,45;0,93;0,47
48018;Berriatua;1,34;1,40;0,93;1,40;1,83;1,15;1,81;1,86;2,10;1,61;2,22;1,70;1,05;2,68;1,15;0,96;0,66
48019;Berriz;1,76;1,88;1,81;2,74;1,73;2,06;2,52;3,46;3,30;4,54;4,16;4,54;3,43;2,52;1,21;0,51;0,34
20023;Berrobi;1,52;1,49;2,03;4,10;3,00;4,52;4,85;4,29;5,16;5,21;4,88;4,02;0,99;0,50;1,98;0,47;0,00
20024;Bidania-Goiatz;1,10;1,07;1,63;4,47;1,08;1,64;1,71;2,86;1,73;3,98;2,31;2,92;1,13;1,67;0,56;0,58;1,20
48020;Bilbao;4,49;4,56;4,92;5,82;4,72;5,41;5,94;6,42;7,13;7,68;7,22;6,32;4,84;3,42;2,60;1,64;2,01
48021;Busturia;4,39;4,01;3,66;4,01;3,44;2,82;3,65;4,37;6,14;5,44;5,37;4,02;2,10;1,48;1,97;0,79;2,88
01017;Campezo/Kanpezu;1,52;1,02;1,49;2,33;1,34;1,09;1,91;2,52;2,47;3,56;5,33;5,49;3,96;2,20;0,74;0,97;0,74
20029;Deba;1,46;1,47;1,74;2,80;1,81;1,99;2,50;2,64;2,73;2,75;3,26;2,73;2,22;2,56;2,43;1,18;0,99
48901;Derio;1,56;1,88;2,00;2,57;2,70;2,46;2,63;3,13;2,38;3,49;3,52;2,73;1,46;1,69;1,75;1,00;1,14
48026;Dima;1,95;2,56;2,16;1,39;1,45;1,88;1,89;2,29;2,07;3,33;3,50;2,90;1,71;1,93;0,87;0,00;0,73
20069;Donostia / San Sebastián;2,22;2,27;2,53;3,21;2,36;2,74;3,04;3,28;3,56;4,15;4,17;3,48;2,70;2,50;1,97;1,31;1,51
48027;Durango;2,01;2,16;2,31;2,88;1,97;1,65;2,84;3,10;3,58;4,15;4,14;3,48;2,30;2,41;1,65;0,41;0,63
48028;Ea;3,96;3,27;3,16;3,47;2,05;2,33;2,34;3,34;2,72;4,08;3,28;2,30;1,94;1,25;1,58;1,54;2,01
20030;Eibar;3,33;3,46;3,89;4,17;3,44;3,68;4,35;4,70;5,87;6,00;5,47;4,72;3,67;4,17;2,78;1,08;1,13
48031;Elantxobe;0,93;0,00;1,01;4,12;2,78;2,73;4,50;2,80;1,69;0,85;1,68;1,65;0,81;1,52;0,00;1,35;0,00
01021;Elburgo/Burgelu;1,22;1,29;0,86;0,83;0,00;0,40;1,22;0,80;0,83;1,25;2,42;0,40;0,79;0,83;0,43;0,49;1,05
01022;Elciego;1,87;2,19;0,30;1,19;0,61;1,25;2,71;3,30;5,54;1,37;4,01;2,35;2,84;1,13;0,56;0,56;0,31
20031;Elduain;0,00;0,00;1,25;1,33;2,56;3,85;1,35;2,70;2,67;1,33;2,63;1,33;2,67;2,56;1,30;0,00;0,00
20033;Elgeta;1,14;1,12;0,55;0,80;1,25;0,50;1,49;2,00;2,84;2,88;2,56;3,50;1,75;1,99;1,29;0,51;0,82
20032;Elgoibar;1,94;1,98;2,08;2,67;1,83;2,15;3,02;2,94;3,79;4,67;4,87;3,42;2,80;2,90;2,00;0,60;0,89
48032;Elorrio;0,95;1,28;1,47;1,68;1,54;1,49;2,17;1,77;2,16;2,72;2,34;2,22;1,88;2,34;1,12;0,41;0,33
01023;Elvillar/Bilar;0,00;0,00;0,00;0,00;0,00;0,90;0,00;2,59;0,98;1,87;0,90;0,93;0,00;0,00;0,00;0,00;0,00
48902;Erandio;3,00;3,24;3,66;4,20;3,59;3,84;4,54;4,69;5,61;6,55;6,13;5,29;3,84;2,73;2,13;1,01;1,78
48033;Ereño;1,06;0,00;0,00;1,02;2,22;0,00;0,00;0,00;0,00;1,19;1,22;2,33;2,22;2,30;2,30;1,20;2,38
48034;Ermua;2,61;2,58;2,61;3,02;2,42;2,74;2,86;3,57;4,00;4,74;5,25;5,08;2,61;3,05;1,90;0,49;0,69
20067;Errenteria;3,03;2,87;3,22;3,60;2,71;3,16;3,65;4,25;4,74;5,56;5,56;4,81;3,62;3,35;2,47;1,40;1,60
20066;Errezil;0,95;1,96;1,93;2,96;2,26;1,35;2,27;3,10;3,57;8,02;5,50;3,60;2,93;2,21;1,29;1,26;1,75
01046;Erriberagoitia/Ribera Alta;1,71;1,16;1,15;1,52;1,89;1,54;1,62;1,95;2,67;3,50;4,44;2,14;0,89;0,98;0,90;0,00;0,00
48079;Errigoiti;1,09;1,74;1,13;3,91;2,38;3,57;3,53;1,16;4,55;3,98;3,68;2,55;1,02;0,99;1,09;0,52;2,63
20034;Eskoriatza;1,60;2,07;2,31;2,91;1,66;2,04;2,31;3,82;3,13;4,26;3,13;2,78;2,41;2,78;3,04;1,67;0,28
48029;Etxebarri;1,83;1,58;1,99;2,90;2,12;2,23;3,30;3,72;4,13;4,95;5,15;4,65;3,50;2,55;1,81;0,91;1,46
48030;Etxebarria;1,83;2,24;1,66;2,58;2,03;2,09;2,08;2,60;2,20;2,89;2,48;1,20;2,80;1,81;1,60;0,69;1,45
20035;Ezkio-Itsaso;1,02;1,03;1,93;1,43;1,87;1,38;0,94;1,83;2,35;3,35;2,46;1,89;3,17;1,40;1,42;0,97;1,08
