Indicadores municipales de sostenibilidad: Tasa de afiliación a la S.S. Sector Servicios (% sobre total personas afiliadas);;;;;;;;;;;;
"";;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
01043;Oyón-Oion;60,06;53,86;51,30;52,56;53,77;54,57;54,25;52,65;52,33;48,64;47,41
20059;Oñati;53,95;52,97;51,94;50,79;50,16;50,44;49,91;49,25;48,21;46,30;45,35
20064;Pasaia;80,41;80,27;80,34;80,88;80,07;80,37;80,53;79,90;79,36;79,18;78,47
01044;Peñacerrada-Urizaharra;54,55;53,16;48,19;52,87;45,57;41,67;40,51;44,16;45,21;44,12;46,48
48077;Plentzia;84,40;84,59;85,01;84,72;84,44;85,20;85,03;84,84;85,44;84,96;84,02
48078;Portugalete;79,05;79,43;79,27;78,97;78,73;78,64;78,66;78,57;78,26;77,31;76,37
01047;Ribera Baja/Erribera Beitia;63,07;60,53;58,63;59,49;54,87;55,38;55,62;54,41;57,36;57,19;55,76
01051;Salvatierra/Agurain;67,30;68,12;68,27;67,62;67,02;66,53;66,55;66,57;66,53;65,58;60,67
01052;Samaniego;38,57;41,80;37,72;40,00;40,31;39,84;41,09;39,17;40,83;39,84;42,19
01053;San Millán/Donemiliaga;54,37;53,75;53,21;54,32;53,66;53,35;52,17;51,86;51,11;48,46;49,19
48082;Santurtzi;77,92;78,15;78,05;77,80;77,77;77,71;77,10;77,54;77,27;76,76;75,96
20070;Segura;56,14;55,19;56,05;55,41;53,44;54,12;54,53;55,50;54,97;51,83;50,09
48084;Sestao;77,56;78,18;78,26;78,13;78,17;77,54;77,43;77,66;77,72;76,53;75,60
48904;Sondika;79,49;78,98;78,89;77,61;77,23;76,96;77,49;77,44;76,83;75,89;75,04
48085;Sopela;83,50;83,90;83,59;83,48;82,72;82,46;82,51;82,29;81,49;81,43;80,73
48086;Sopuerta;74,05;74,10;73,59;72,87;73,34;72,35;72,37;73,33;72,18;72,43;70,94
20065;Soraluze-Placencia de las Armas;58,14;58,65;58,38;58,34;58,50;57,64;57,96;55,35;54,88;53,07;52,56
48076;Sukarrieta;79,61;78,89;78,65;78,65;75,56;75,00;75,56;77,89;74,16;75,56;80,65
20071;Tolosa;70,64;70,53;70,49;70,12;70,18;70,01;69,63;69,35;68,69;67,97;67,08
48087;Trucios-Turtzioz;61,02;66,28;63,75;63,87;60,87;58,02;59,09;59,29;60,00;59,85;62,33
