Indicadores municipales de sostenibilidad: Hombres ocupados en el sector servicios (% sobre total hombres ocupados);;;;;
"";;;;;
Resumen de datos;;;;;
48076;Sukarrieta;71,60;71,60;63,01;67,16
20071;Tolosa;51,55;51,13;50,94;50,83
48087;Trucios-Turtzioz;53,49;50,78;51,24;58,54
48088;Ubide;50,94;50,94;48,94;46,55
48065;Ugao-Miraballes;56,36;57,30;54,80;54,55
48089;Urduliz;69,28;69,15;68,72;68,61
48074;Urduña/Orduña;44,92;44,00;44,07;44,62
01054;Urkabustaiz;55,69;52,17;51,58;51,49
20072;Urnieta;56,18;56,02;53,53;54,32
20077;Urretxu;40,99;40,17;40,16;40,05
20073;Usurbil;59,27;58,56;58,74;58,84
01055;Valdegovía/Gaubea;49,15;49,12;47,50;47,22
48080;Valle de Trápaga-Trapagaran;64,87;65,49;65,68;65,35
20075;Villabona;43,70;41,81;41,28;42,15
01057;Villabuena de Álava/Eskuernaga;24,05;14,29;10,39;10,26
01059;Vitoria-Gasteiz;60,19;60,35;59,04;59,49
01060;Yécora/Iekora;30,00;29,03;25,00;17,54
48095;Zaldibar;40,97;39,95;39,41;38,45
20078;Zaldibia;34,31;33,93;32,63;34,75
01061;Zalduondo;63,33;60,34;58,33;56,90
48096;Zalla;55,89;56,17;55,86;56,19
01062;Zambrana;50,00;47,37;47,06;47,37
48905;Zamudio;63,54;62,53;59,68;60,08
48097;Zaratamo;61,22;62,28;61,62;60,62
20079;Zarautz;57,96;58,09;57,80;57,04
48024;Zeanuri;52,51;54,40;53,77;55,21
48025;Zeberio;56,62;57,74;58,27;58,14
20025;Zegama;27,60;27,81;28,83;28,75
20026;Zerain;35,00;40,32;34,43;31,03
20027;Zestoa;45,73;45,10;44,73;45,16
48913;Zierbena;64,33;62,53;62,03;62,68
01018;Zigoitia;61,57;60,84;59,32;59,40
48915;Ziortza-Bolibar;36,56;33,33;33,64;35,96
20028;Zizurkil;44,15;43,76;41,90;42,60
01063;Zuia;65,34;66,67;66,23;66,72
20081;Zumaia;45,11;44,84;43,78;42,89
20080;Zumarraga;41,02;40,51;39,83;39,93
