Indicadores municipales de sostenibilidad: Población perceptora de pensiones no contributivas (? habitantes);;;;;
"";;;;;
Resumen de datos;;;;;
01901;Iruña Oka/Iruña de Oca;12,80;10,70;8,94;8,78
48049;Ispaster;3,20;6,45;6,47;8,10
20047;Itsasondo;6,71;3,40;5,21;5,33
48910;Iurreta;3,13;3,13;3,06;2,99
48050;Izurtza;24,19;7,97;3,97;3,94
48022;Karrantza Harana/Valle de Carranza;9,31;10,34;12,11;15,28
48907;Kortezubi;2,49;5,13;5,21;5,29
01019;Kripan;0,00;0,00;0,00;0,00
01020;Kuartango;8,40;8,33;8,52;8,72
01028;Labastida/Bastida;6,04;4,84;4,23;5,76
01030;Lagrán;0,00;0,00;0,00;0,00
01031;Laguardia;1,96;1,29;1,96;2,65
01032;Lanciego/Lantziego;4,28;5,87;7,43;7,54
48051;Lanestosa;3,31;3,33;6,83;13,94
01902;Lantarón;0,00;1,04;3,13;4,18
01033;Lapuebla de Labarca;3,40;4,77;4,77;4,78
48052;Larrabetzu;5,76;4,12;5,96;5,43
20048;Larraul;4,83;5,00;4,98;4,95
20902;Lasarte-Oria;2,92;2,87;2,99;3,05
01036;Laudio/Llodio;3,43;3,38;3,82;4,27
48053;Laukiz;7,06;5,14;5,15;7,22
20049;Lazkao;3,71;4,56;4,39;4,42
20050;Leaburu;5,32;2,67;2,70;2,72
20051;Legazpi;4,56;4,93;4,78;4,98
20052;Legorreta;1,42;2,14;1,44;0,73
01058;Legutio;1,28;1,32;1,35;1,39
20068;Leintz-Gatzaga;4,05;3,97;4,10;4,24
48054;Leioa;3,79;4,20;4,22;4,49
48057;Lekeitio;4,89;5,22;4,83;5,12
48055;Lemoa;4,06;3,13;3,14;3,50
48056;Lemoiz;17,28;5,20;5,27;5,33
01034;Leza;4,31;4,50;4,42;4,35
48081;Lezama;3,33;3,41;3,48;3,97
20053;Lezo;4,39;4,23;4,59;3,93
20054;Lizartza;3,32;3,34;6,59;4,88
48903;Loiu;2,37;2,88;2,95;3,51
48058;Mallabia;3,46;3,51;4,42;5,34
48060;Markina-Xemein;2,80;3,98;4,06;3,31
48061;Maruri-Jatabe;2,38;2,40;3,66;3,72
48059;Mañaria;14,80;0,00;2,20;2,17
20901;Mendaro;1,76;1,79;2,99;3,00
48062;Mendata;0,00;0,00;0,00;0,00
48063;Mendexa;0,00;0,00;0,00;0,00
48064;Meñaka;30,86;9,17;7,74;10,94
01039;Moreda de Álava / Moreda Araba;3,30;3,32;6,60;9,84
48066;Morga;5,14;7,61;10,10;7,52
48068;Mundaka;8,14;8,05;10,83;11,44
48069;Mungia;3,00;3,86;4,33;4,26
48007;Munitibar-Arbatzegi Gerrikaitz-;47,37;5,22;5,22;7,83
48908;Murueta;3,33;3,41;3,51;3,60
48071;Muskiz;6,20;6,10;5,89;6,26
20057;Mutiloa;4,90;0,00;5,08;5,15
20056;Mutriku;4,75;4,60;5,01;6,06
48067;Muxika;7,32;5,90;6,62;6,60
48909;Nabarniz;21,74;9,01;8,70;8,37
01041;Navaridas;0,00;4,61;4,69;4,78
20063;Oiartzun;3,50;3,61;3,32;3,35
01042;Okondo;4,69;4,77;4,85;4,95
20058;Olaberria;2,19;2,24;2,22;1,10
48073;Ondarroa;5,64;6,80;6,98;7,24
20076;Ordizia;3,70;3,78;4,30;4,38
20905;Orendain;0,00;0,00;0,00;0,00
20060;Orexa;8,93;10,42;10,75;11,11
20061;Orio;3,76;3,60;3,42;3,45
20062;Ormaiztegi;1,54;1,58;1,60;1,62
48075;Orozko;6,79;7,75;7,82;7,00
48083;Ortuella;6,66;7,50;7,52;7,05
48072;Otxandio;8,49;7,87;8,08;8,27
01043;Oyón-Oion;6,16;6,80;7,79;8,87
20059;Oñati;3,57;4,04;4,24;4,53
20064;Pasaia;6,45;6,54;7,10;8,11
01044;Peñacerrada-Urizaharra;3,98;3,92;3,98;8,13
48077;Plentzia;5,43;5,57;4,96;5,32
48078;Portugalete;5,80;6,51;7,08;7,32
01047;Ribera Baja/Erribera Beitia;0,00;0,86;0,91;1,94
01051;Salvatierra/Agurain;3,16;2,99;3,05;4,08
01052;Samaniego;12,62;18,87;27,69;33,23
01053;San Millán/Donemiliaga;2,71;2,75;2,74;4,10
48082;Santurtzi;6,26;6,87;7,10;7,10
20070;Segura;6,20;6,24;5,48;5,50
48084;Sestao;7,11;7,40;7,51;7,56
48904;Sondika;5,01;5,32;5,36;5,15
48085;Sopela;3,81;4,35;5,01;5,15
48086;Sopuerta;14,18;15,53;17,34;18,72
20065;Soraluze-Placencia de las Armas;5,27;4,73;5,68;5,64
48076;Sukarrieta;11,80;5,92;6,01;6,10
20071;Tolosa;6,39;6,82;6,91;7,76
48087;Trucios-Turtzioz;23,81;11,32;13,08;14,79
48088;Ubide;19,48;12,90;12,58;12,27
48065;Ugao-Miraballes;4,76;4,52;4,03;4,02
48089;Urduliz;5,21;5,92;4,90;5,42
48074;Urduña/Orduña;4,41;4,67;6,16;6,66
01054;Urkabustaiz;0,87;3,65;0,94;0,97
20072;Urnieta;4,04;4,79;5,54;5,07
20077;Urretxu;6,47;6,76;7,12;6,88
20073;Usurbil;5,13;5,68;6,08;5,23
01055;Valdegovía/Gaubea;2,68;2,70;3,68;3,77
48080;Valle de Trápaga-Trapagaran;5,00;5,42;5,73;6,02
20075;Villabona;5,46;5,36;5,37;6,11
01057;Villabuena de Álava/Eskuernaga;0,00;0,00;0,00;0,00
01059;Vitoria-Gasteiz;4,78;4,82;4,81;5,47
01060;Yécora/Iekora;3,28;3,41;3,55;11,07
48095;Zaldibar;15,33;16,95;17,46;17,58
20078;Zaldibia;2,75;2,80;3,46;5,48
01061;Zalduondo;0,00;0,00;0,00;0,00
48096;Zalla;6,86;7,32;7,48;7,88
01062;Zambrana;2,79;2,82;2,81;2,80
48905;Zamudio;4,35;5,05;4,50;3,59
48097;Zaratamo;3,55;4,18;4,83;4,27
20079;Zarautz;3,03;2,95;3,31;3,68
48024;Zeanuri;2,37;2,42;2,44;2,47
48025;Zeberio;7,44;8,43;7,56;10,48
20025;Zegama;5,04;4,42;6,07;6,27
20026;Zerain;4,08;8,20;12,40;12,50
20027;Zestoa;4,44;5,09;4,24;5,51
48913;Zierbena;0,00;0,00;0,00;0,00
01018;Zigoitia;0,00;0,00;0,00;0,00
48915;Ziortza-Bolibar;0,00;3,98;4,06;3,31
20028;Zizurkil;6,91;5,39;5,48;5,95
01063;Zuia;2,55;2,60;2,22;2,74
20081;Zumaia;4,61;4,08;4,11;4,14
20080;Zumarraga;5,61;5,60;5,92;5,94
