Indicadores municipales de sostenibilidad: Tasa de afiliación a la S.S. Sector Construcción  (% sobre total personas afiliadas);;;;;;;;;;;;
"";;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
20057;Mutiloa;4,35;7,77;6,00;6,00;7,22;6,12;6,74;7,41;6,76;7,59;7,69
20056;Mutriku;4,74;4,65;4,88;4,90;4,94;5,04;5,60;6,42;5,88;6,31;6,60
48067;Muxika;6,75;5,32;5,03;4,56;4,51;4,17;4,46;4,78;5,60;5,30;5,64
48909;Nabarniz;10,64;7,61;8,05;10,87;8,60;10,11;10,47;8,24;9,46;8,11;10,00
01041;Navaridas;6,45;5,00;6,58;6,33;6,33;6,58;6,85;6,41;5,88;5,48;6,41
20063;Oiartzun;6,63;6,97;7,05;7,20;7,26;7,26;7,18;7,46;7,97;8,34;8,57
01042;Okondo;6,75;6,30;7,26;7,65;6,39;7,48;7,38;7,52;7,73;7,45;8,96
20058;Olaberria;4,33;5,47;4,35;3,96;2,93;3,26;2,70;1,97;2,69;3,75;3,67
48073;Ondarroa;3,00;2,96;3,05;3,03;3,05;3,16;3,21;3,44;3,61;3,72;4,01
20076;Ordizia;9,54;9,02;8,89;8,81;8,64;7,83;7,28;6,97;6,23;6,54;7,21
20905;Orendain;6,93;5,56;2,41;3,90;3,85;3,75;3,90;2,53;4,17;5,88;5,33
20060;Orexa;2,04;2,08;2,13;2,08;1,96;1,92;5,77;5,88;4,08;6,00;6,12
20061;Orio;7,42;7,74;7,52;7,74;7,26;7,57;7,88;8,26;8,09;8,70;8,42
20062;Ormaiztegi;2,82;3,06;3,06;3,29;3,23;3,20;2,72;2,90;2,87;3,25;3,44
48075;Orozko;4,21;4,00;4,62;4,23;4,30;4,69;4,60;4,61;4,92;4,89;4,77
48083;Ortuella;8,83;8,61;8,85;8,71;8,91;8,91;8,95;8,91;9,10;8,27;9,52
48072;Otxandio;3,46;2,84;2,57;2,96;3,56;3,08;2,75;2,61;3,05;3,58;3,73
01043;Oyón-Oion;4,63;3,86;3,91;3,80;2,56;2,55;2,56;3,53;3,35;3,78;4,32
20059;Oñati;2,05;2,13;2,23;2,34;2,39;2,36;2,43;2,36;2,51;2,52;2,79
20064;Pasaia;7,11;7,28;6,93;6,85;6,96;7,21;7,05;7,04;6,99;6,87;7,09
01044;Peñacerrada-Urizaharra;4,04;2,53;3,61;4,60;6,33;5,95;3,80;3,90;6,85;5,88;7,04
48077;Plentzia;5,67;6,12;5,33;5,75;6,38;5,92;5,76;5,77;5,37;5,91;6,61
48078;Portugalete;7,15;7,01;7,11;6,89;6,93;6,84;6,69;6,71;6,65;7,01;7,57
01047;Ribera Baja/Erribera Beitia;8,13;8,37;8,88;7,85;9,23;8,66;8,71;10,29;9,91;10,31;10,90
01051;Salvatierra/Agurain;3,12;2,62;2,86;2,52;2,77;2,88;3,04;3,03;2,83;3,20;3,85
01052;Samaniego;0,00;0,00;0,88;0,00;0,00;0,78;1,55;1,67;0,83;1,63;0,78
01053;San Millán/Donemiliaga;4,38;4,89;3,85;3,40;3,35;3,35;2,48;2,80;3,81;4,63;4,53
48082;Santurtzi;7,85;7,77;8,21;8,22;8,10;8,29;8,49;8,34;8,33;8,41;9,27
20070;Segura;3,11;3,25;2,94;3,39;4,26;5,04;5,60;4,93;4,38;5,39;5,17
48084;Sestao;9,03;8,63;8,46;8,22;8,01;7,91;7,69;7,74;7,66;7,89;8,92
48904;Sondika;4,60;4,67;4,50;4,67;4,67;5,19;4,84;4,99;4,63;4,92;5,46
48085;Sopela;4,62;4,78;5,09;4,84;4,86;4,94;4,82;4,84;5,12;4,97;5,56
48086;Sopuerta;9,35;9,15;9,05;8,94;8,99;8,63;8,56;8,23;8,09;8,58;9,81
20065;Soraluze-Placencia de las Armas;5,37;4,33;4,35;3,96;4,45;4,71;4,36;4,41;4,75;5,28;5,51
48076;Sukarrieta;4,85;5,56;6,74;5,62;3,33;2,27;3,33;2,11;3,37;3,33;3,23
20071;Tolosa;4,44;4,68;4,49;4,44;4,53;4,45;4,61;4,49;4,78;5,06;5,46
48087;Trucios-Turtzioz;11,30;9,88;11,88;11,61;13,04;13,74;11,36;12,86;12,14;11,36;9,59
