Indicadores municipales de sostenibilidad: Tasa de afiliación.a la S.S. Sector Primario (% sobre total personas afiliadas);;;;;;;;;;;;
"";;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
01016;Bernedo;22,91;21,02;21,59;22,09;20,12;19,77;22,22;22,22;24,19;23,71;24,50
48018;Berriatua;7,31;6,76;8,44;7,58;8,40;7,72;8,92;8,47;8,70;9,48;10,44
48019;Berriz;1,04;0,96;0,86;0,93;0,97;1,04;1,05;1,11;1,19;1,38;1,06
20023;Berrobi;1,79;2,76;3,23;2,72;3,29;3,39;2,93;3,02;3,56;3,12;4,15
20024;Bidania-Goiatz;7,92;7,88;7,66;7,73;7,17;7,14;6,67;7,52;6,67;7,11;7,44
48020;Bilbao;0,39;0,26;0,27;0,25;0,24;0,23;0,23;0,23;0,23;0,23;0,21
48021;Busturia;2,36;2,95;2,98;2,04;2,41;2,84;3,01;3,20;3,32;3,23;3,09
01017;Campezo/Kanpezu;6,15;7,11;7,69;7,69;7,62;7,50;7,79;8,78;9,70;9,09;9,12
20029;Deba;2,33;2,12;2,46;2,41;2,61;2,58;2,71;2,96;3,14;3,17;3,16
48901;Derio;0,51;0,47;0,46;0,45;0,43;0,52;0,42;0,48;0,54;0,74;0,86
48026;Dima;2,19;2,25;2,10;2,21;2,67;2,45;2,50;2,80;2,56;2,42;2,75
20069;Donostia / San Sebastián;0,36;0,30;0,31;0,29;0,28;0,29;0,30;0,30;0,30;0,30;0,28
48027;Durango;0,84;0,75;0,77;0,72;0,69;0,66;0,67;0,74;0,77;0,68;0,70
48028;Ea;1,77;1,75;1,44;1,44;1,79;1,85;3,33;2,27;2,92;2,66;2,16
20030;Eibar;0,51;0,35;0,34;0,33;0,37;0,30;0,32;0,31;0,32;0,34;0,34
48031;Elantxobe;2,63;1,03;1,90;1,85;1,87;0,00;1,90;0,99;0,00;0,00;0,00
01021;Elburgo/Burgelu;8,31;8,39;9,85;9,96;10,92;10,17;10,80;10,53;10,99;11,40;11,87
01022;Elciego;18,35;21,73;24,28;23,51;25,31;25,24;24,84;21,52;23,51;22,03;22,90
20031;Elduain;1,59;2,52;2,68;2,54;2,86;2,83;2,88;2,80;3,00;2,06;2,00
20033;Elgeta;1,15;1,01;0,60;0,59;0,79;1,00;0,98;1,03;1,06;1,02;1,04
20032;Elgoibar;1,41;1,17;1,19;1,23;1,33;1,45;1,30;1,21;1,36;1,38;1,43
48032;Elorrio;1,99;1,80;1,74;1,79;1,78;1,66;1,52;1,58;1,38;1,32;1,17
01023;Elvillar/Bilar;45,34;57,66;57,97;60,29;59,26;59,26;57,89;60,00;57,46;58,02;57,97
48902;Erandio;0,50;0,49;0,46;0,51;0,50;0,44;0,41;0,36;0,40;0,34;0,35
48033;Ereño;3,33;4,60;4,71;5,81;6,59;6,74;5,75;8,14;10,39;10,84;8,89
48034;Ermua;0,44;0,20;0,19;0,16;0,14;0,12;0,14;0,11;0,13;0,05;0,08
20067;Errenteria;0,39;0,33;0,31;0,32;0,32;0,31;0,31;0,30;0,32;0,31;0,29
20066;Errezil;10,31;10,73;11,11;12,14;14,07;15,00;15,71;14,73;14,52;14,98;14,34
01046;Erriberagoitia/Ribera Alta;10,54;11,66;11,15;11,35;12,82;13,33;15,19;13,95;13,44;13,55;12,35
48079;Errigoiti;4,79;3,89;5,23;3,98;4,68;4,97;4,71;5,23;7,53;6,67;7,14
20034;Eskoriatza;1,12;0,96;0,91;0,85;1,07;1,31;1,15;1,54;1,13;1,12;1,21
48029;Etxebarri;0,19;0,14;0,17;0,12;0,15;0,13;0,18;0,14;0,15;0,13;0,14
48030;Etxebarria;4,37;3,68;3,88;4,26;4,77;4,94;4,36;4,59;4,77;4,97;5,92
20035;Ezkio-Itsaso;5,60;5,49;5,67;5,08;5,93;5,39;5,24;4,15;4,37;4,93;4,98
48906;Forua;1,81;0,82;0,83;1,37;1,29;1,32;1,70;1,74;1,94;2,04;1,65
48035;Fruiz;2,45;2,60;2,67;2,30;2,30;1,93;1,45;1,50;1,49;1,49;1,99
20038;Gabiria;1,68;1,84;1,84;2,27;1,80;1,83;1,84;1,44;1,93;3,12;3,49
20037;Gaintza;4,00;4,08;3,92;4,26;4,00;6,52;6,12;6,25;8,33;7,55;8,16
48036;Galdakao;0,31;0,30;0,22;0,17;0,25;0,24;0,27;0,27;0,27;0,31;0,31
48037;Galdames;4,85;5,28;4,98;5,05;4,83;6,50;6,92;5,91;7,60;7,39;6,67
48038;Gamiz-Fika;6,86;7,33;6,68;6,20;5,67;6,08;5,76;6,24;6,32;5,86;6,60
48039;Garai;1,96;1,43;1,42;2,16;1,50;1,57;1,65;1,71;2,78;2,86;3,09
48040;Gatika;2,94;3,19;3,22;3,28;3,03;3,36;3,24;3,04;3,33;3,40;3,38
48041;Gautegiz Arteaga;1,34;1,46;1,81;1,79;1,78;0,88;1,26;0,66;0,66;0,95;0,96
20907;Gaztelu;0,00;0,00;4,44;4,17;6,12;8,00;8,33;10,87;10,20;10,64;4,48
48046;Gernika-Lumo;1,01;1,08;1,16;1,07;1,08;1,22;1,22;1,32;1,28;1,27;1,23
20039;Getaria;6,03;6,79;7,22;7,43;7,84;8,78;9,15;9,34;9,54;9,88;10,18
48044;Getxo;0,31;0,32;0,33;0,29;0,30;0,31;0,33;0,32;0,31;0,26;0,28
48047;Gizaburuaga;1,20;1,23;1,25;2,67;2,74;4,05;4,11;5,19;5,41;5,19;3,80
48042;Gordexola;2,04;2,66;2,99;3,47;3,36;3,78;3,84;3,46;3,46;3,72;3,32
48043;Gorliz;0,86;0,89;1,04;0,98;1,19;1,22;1,12;1,17;1,25;1,20;1,26
48045;Güeñes;1,03;1,12;1,13;1,13;1,08;1,31;1,27;1,27;1,41;1,35;1,54
01056;Harana/Valle de Arana;23,17;24,66;25,35;26,03;26,67;27,71;28,57;29,76;31,82;33,33;34,52
20040;Hernani;0,72;0,57;0,58;0,52;0,52;0,52;0,53;0,55;0,56;0,54;0,46
20041;Hernialde;2,03;3,70;3,55;4,11;4,46;5,81;6,54;6,54;6,45;5,52;5,56
20036;Hondarribia;1,43;1,48;1,77;1,89;1,84;1,78;1,88;2,01;2,08;2,08;2,13
20042;Ibarra;1,01;1,07;1,03;1,11;1,26;1,11;1,17;1,17;1,25;1,10;1,09
48048;Ibarrangelu;1,01;0,49;0,99;0,95;1,42;2,91;2,05;2,08;2,13;2,65;3,26
20043;Idiazabal;1,68;2,08;2,59;2,49;2,35;2,70;2,69;2,96;3,15;3,32;3,25
48094;Igorre;1,95;2,31;2,47;2,12;2,42;2,08;1,89;1,93;1,93;1,81;1,52
20044;Ikaztegieta;1,02;0,56;1,12;2,05;2,07;2,01;2,06;2,09;1,60;1,05;1,10
20045;Irun;0,34;0,22;0,24;0,22;0,21;0,20;0,23;0,24;0,27;0,27;0,25
20046;Irura;0,43;0,35;0,24;0,36;0,37;0,37;0,26;0,27;0,43;0,15;0,31
01027;Iruraiz-Gauna;13,73;14,80;18,52;18,22;18,67;20,25;22,71;24,89;27,63;27,31;28,18
01901;Iruña Oka/Iruña de Oca;1,57;1,07;1,13;1,11;1,07;1,09;1,41;1,68;1,86;1,78;1,74
48049;Ispaster;3,35;3,68;4,14;4,60;4,38;6,15;6,07;6,53;7,08;7,66;10,34
20047;Itsasondo;2,07;2,20;2,23;1,85;2,17;1,49;1,56;1,63;1,67;1,72;1,78
48910;Iurreta;1,65;1,44;1,55;1,36;1,32;1,48;1,74;1,72;1,75;1,89;1,82
48050;Izurtza;6,86;6,73;7,41;7,34;7,02;7,14;7,14;5,36;5,36;6,19;6,48
48022;Karrantza Harana/Valle de Carranza;19,67;23,09;24,83;25,49;26,38;27,42;28,27;29,34;29,44;29,12;28,94
48907;Kortezubi;8,70;9,14;9,66;9,50;9,77;10,06;9,60;9,60;10,00;10,91;10,83
01019;Kripan;37,35;50,82;49,09;47,54;50,85;51,67;57,38;52,54;57,41;58,49;61,11
01020;Kuartango;14,39;14,81;14,50;12,06;12,32;13,74;14,93;14,93;18,49;17,65;18,25
01028;Labastida/Bastida;11,50;13,60;15,42;15,09;15,38;15,57;16,97;17,51;16,58;16,92;16,79
01030;Lagrán;15,79;19,35;19,35;15,38;16,67;19,23;16,13;21,88;25,00;27,03;23,26
01031;Laguardia;12,57;14,12;15,24;15,61;16,80;15,98;16,51;17,71;17,47;17,64;18,23
01032;Lanciego/Lantziego;33,45;44,16;48,19;47,98;46,89;49,22;51,58;54,30;55,80;56,98;54,60
48051;Lanestosa;5,56;9,84;13,43;17,19;17,74;17,24;20,75;19,67;18,03;20,34;23,64
01902;Lantarón;13,42;17,94;18,78;18,75;18,50;20,00;20,91;21,40;23,83;23,30;23,26
01033;Lapuebla de Labarca;30,41;38,77;40,86;39,22;41,18;40,97;40,00;41,03;42,05;43,77;43,12
48052;Larrabetzu;1,81;2,14;1,96;1,79;2,32;2,57;2,49;2,05;2,74;2,72;3,13
20048;Larraul;5,07;4,76;5,98;4,31;6,42;7,02;6,25;6,93;7,14;6,93;6,93
20902;Lasarte-Oria;0,49;0,50;0,54;0,48;0,55;0,52;0,46;0,40;0,40;0,39;0,38
01036;Laudio/Llodio;0,84;0,78;0,85;0,86;0,81;0,84;0,80;0,85;0,87;0,92;0,91
48053;Laukiz;2,06;2,47;2,30;1,26;1,66;2,13;1,77;1,61;1,90;1,84;1,84
20049;Lazkao;0,97;0,98;0,92;1,03;0,89;0,93;0,87;1,06;1,28;1,41;1,18
20050;Leaburu;2,65;2,20;3,49;2,34;2,25;2,48;3,33;3,29;4,03;3,27;4,44
20051;Legazpi;0,50;0,60;0,69;0,68;0,70;0,68;0,63;0,78;0,85;0,73;0,71
20052;Legorreta;0,31;0,32;0,33;0,48;0,48;0,82;0,85;1,02;1,19;1,22;0,68
01058;Legutio;3,11;3,10;3,63;3,44;3,53;3,91;4,10;4,62;4,70;4,85;4,69
20068;Leintz-Gatzaga;1,08;0,00;0,00;0,00;1,00;1,96;1,03;0,98;2,00;2,02;1,00
48054;Leioa;0,31;0,19;0,18;0,20;0,18;0,15;0,15;0,17;0,12;0,12;0,12
48057;Lekeitio;2,09;2,04;2,26;2,39;2,65;2,50;2,61;2,76;2,88;2,94;3,22
48055;Lemoa;0,90;0,93;0,96;0,81;1,03;1,04;1,22;1,18;1,39;1,72;1,41
48056;Lemoiz;2,66;2,67;2,98;2,83;3,35;3,85;3,68;3,75;3,85;4,05;3,95
01034;Leza;41,46;43,42;41,25;41,25;35,44;39,02;36,71;33,75;29,76;29,33;28,38
48081;Lezama;2,60;2,49;2,13;2,31;2,51;2,35;2,89;3,14;3,23;3,68;3,68
20053;Lezo;0,38;0,42;0,36;0,42;0,32;0,29;0,33;0,30;0,31;0,28;0,32
20054;Lizartza;1,38;1,85;2,66;2,69;2,33;3,10;2,94;3,36;3,72;4,15;3,48
48903;Loiu;0,55;0,50;0,52;0,52;0,53;0,65;0,44;0,55;0,58;0,35;0,44
48058;Mallabia;1,70;1,92;2,42;2,39;2,33;2,71;2,88;3,75;4,09;4,53;4,33
48060;Markina-Xemein;4,65;4,08;4,28;4,22;4,30;4,27;4,68;4,70;4,41;4,84;5,13
48061;Maruri-Jatabe;2,44;2,30;2,93;3,46;3,08;2,62;2,88;3,43;3,34;2,64;3,20
48059;Mañaria;2,35;2,44;2,44;2,78;2,78;3,76;3,74;4,07;4,37;4,59;4,59
20901;Mendaro;0,67;0,47;0,59;0,92;1,16;1,07;1,11;1,26;1,31;1,22;1,62
48062;Mendata;4,08;5,30;6,49;5,19;4,79;5,22;6,02;7,46;7,81;9,52;9,38
48063;Mendexa;5,11;5,08;5,75;5,99;6,40;6,06;5,99;8,33;7,69;6,94;6,57
48064;Meñaka;3,00;3,74;4,17;4,42;4,32;5,19;5,08;5,62;4,98;5,08;5,06
01039;Moreda de Álava / Moreda Araba;24,53;36,76;39,06;37,14;36,76;38,10;37,88;38,33;41,51;41,07;44,64
48066;Morga;8,24;7,27;6,49;6,37;6,41;7,50;6,80;5,37;6,04;6,29;5,71
48068;Mundaka;3,07;3,53;3,27;3,38;3,20;2,48;2,31;2,53;2,40;2,61;2,70
48069;Mungia;1,53;1,52;1,62;1,58;1,65;1,57;1,62;1,70;1,54;1,57;1,60
48007;Munitibar-Arbatzegi Gerrikaitz-;2,84;2,92;2,42;3,11;3,75;4,49;4,94;4,88;5,81;6,90;6,94
48908;Murueta;1,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,56;2,63;2,56
48071;Muskiz;0,52;0,52;0,63;0,48;0,55;0,52;0,54;0,62;0,62;0,63;0,58
20057;Mutiloa;1,74;2,91;3,00;3,00;3,09;3,06;1,12;0,00;0,00;0,00;1,28
20056;Mutriku;2,94;2,53;3,13;3,59;3,41;3,65;3,88;4,03;4,04;4,21;4,47
48067;Muxika;1,93;2,82;2,27;2,28;2,67;3,12;3,43;3,19;4,29;4,55;4,36
48909;Nabarniz;6,38;7,61;5,75;2,17;2,15;3,37;4,65;7,06;6,76;6,76;10,00
01041;Navaridas;49,46;57,50;63,16;63,29;67,09;64,47;65,75;58,97;63,24;63,01;62,82
20063;Oiartzun;1,40;1,19;1,19;1,19;1,33;1,42;1,45;1,51;1,36;1,40;1,34
01042;Okondo;3,94;4,13;4,44;4,23;4,95;4,91;5,42;4,78;4,45;5,29;5,97
20058;Olaberria;2,64;2,74;2,56;2,64;3,20;3,26;3,24;3,66;3,59;3,75;3,67
48073;Ondarroa;6,32;4,95;5,49;5,71;6,34;6,42;6,94;7,28;7,31;7,45;8,05
20076;Ordizia;0,51;0,36;0,48;0,52;0,50;0,36;0,42;0,46;0,45;0,64;0,63
20905;Orendain;8,91;11,11;13,25;14,29;14,10;12,50;12,99;12,66;15,28;13,24;14,67
20060;Orexa;16,33;14,58;17,02;16,67;15,69;17,31;17,31;17,65;18,37;18,00;18,37
20061;Orio;1,18;0,81;1,08;1,16;1,29;1,41;1,39;1,88;1,96;2,04;2,03
20062;Ormaiztegi;0,33;0,18;0,90;0,17;0,17;0,17;0,17;0,34;0,18;0,18;0,18
48075;Orozko;3,69;4,09;4,25;4,05;4,21;4,32;4,79;4,61;4,92;5,21;5,08
48083;Ortuella;0,25;0,18;0,15;0,15;0,15;0,15;0,15;0,13;0,19;0,16;0,13
