Indicadores municipales de sostenibilidad: Renta personal total (?);;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;
20018;Azpeitia;25.637,00;23.801,00;23.149,00;26.472,00;21.960,00;21.434,00;20.599,00;20.302,00;19.414,00;19.221,00;19.386,00;20.680,00;16.013,00;14.360,00;13.262,00;10.080,00
01049;Añana;22.744,00;23.465,00;21.415,00;20.319,00;18.082,00;17.781,00;18.693,00;16.667,00;14.972,00;17.315,00;17.402,00;16.079,00;13.033,00;11.421,00;10.251,00;8.126,00
48012;Bakio;28.950,00;27.925,00;26.891,00;29.945,00;25.372,00;25.715,00;24.994,00;26.566,00;23.520,00;23.914,00;24.666,00;24.012,00;20.762,00;17.059,00;13.837,00;10.213,00
20904;Baliarrain;29.617,00;27.623,00;24.701,00;24.539,00;24.161,00;24.579,00;21.441,00;22.334,00;21.664,00;23.252,00;21.339,00;19.812,00;14.843,00;11.554,00;9.884,00;8.106,00
48090;Balmaseda;19.621,00;18.613,00;17.559,00;17.767,00;16.696,00;16.271,00;15.747,00;15.496,00;14.896,00;14.670,00;15.388,00;15.248,00;14.199,00;10.742,00;9.801,00;7.839,00
48013;Barakaldo;20.887,00;19.736,00;18.756,00;18.750,00;17.695,00;17.550,00;16.935,00;16.766,00;16.450,00;16.398,00;16.560,00;16.592,00;14.843,00;11.354,00;10.486,00;8.081,00
48014;Barrika;29.104,00;27.571,00;24.744,00;24.663,00;23.364,00;23.345,00;21.751,00;21.899,00;22.162,00;26.973,00;23.975,00;24.076,00;21.458,00;15.266,00;14.020,00;10.572,00
01013;Barrundia;25.472,00;25.151,00;23.957,00;24.378,00;22.738,00;23.264,00;22.785,00;22.520,00;22.251,00;22.698,00;24.172,00;22.774,00;18.427,00;16.088,00;12.979,00;9.558,00
48015;Basauri;19.942,00;18.847,00;18.203,00;18.249,00;17.381,00;17.034,00;16.446,00;16.265,00;15.988,00;15.989,00;16.437,00;16.478,00;13.931,00;11.440,00;10.848,00;8.478,00
01011;Baños de Ebro/Mañueta;12.121,00;14.074,00;13.103,00;15.888,00;14.655,00;15.382,00;15.740,00;14.230,00;13.552,00;12.668,00;12.201,00;13.275,00;10.188,00;10.103,00;10.329,00;9.084,00
20019;Beasain;27.194,00;26.143,00;24.952,00;25.288,00;25.763,00;23.919,00;23.806,00;22.563,00;21.316,00;21.357,00;21.969,00;21.291,00;18.177,00;14.732,00;13.714,00;10.455,00
48092;Bedia;24.254,00;21.889,00;20.844,00;21.223,00;20.235,00;19.530,00;18.439,00;17.929,00;17.964,00;18.985,00;18.118,00;17.673,00;15.869,00;12.481,00;11.909,00;9.295,00
20020;Beizama;26.414,00;20.234,00;22.552,00;24.643,00;18.416,00;23.224,00;17.929,00;16.677,00;18.293,00;15.299,00;17.600,00;21.058,00;15.807,00;14.324,00;12.376,00;7.775,00
20021;Belauntza;31.247,00;22.195,00;22.371,00;22.500,00;20.802,00;20.387,00;20.859,00;21.392,00;18.702,00;19.476,00;21.176,00;22.243,00;16.662,00;12.374,00;13.345,00;8.883,00
48016;Berango;29.598,00;28.076,00;26.664,00;27.509,00;26.741,00;27.125,00;24.935,00;24.967,00;23.916,00;24.086,00;25.584,00;23.905,00;20.983,00;15.764,00;12.817,00;9.785,00
01014;Berantevilla;23.113,00;21.127,00;18.932,00;18.274,00;18.071,00;17.705,00;17.077,00;17.118,00;17.173,00;19.133,00;18.826,00;16.986,00;18.701,00;11.716,00;10.340,00;7.683,00
20022;Berastegi;29.009,00;25.174,00;24.565,00;24.280,00;23.008,00;21.754,00;20.532,00;20.072,00;20.106,00;19.712,00;20.473,00;19.882,00;17.491,00;13.335,00;11.423,00;9.110,00
20074;Bergara;27.027,00;24.839,00;23.977,00;24.744,00;23.640,00;23.190,00;21.964,00;21.984,00;20.818,00;20.615,00;21.295,00;21.280,00;18.296,00;15.303,00;14.569,00;11.145,00
48017;Bermeo;22.146,00;20.525,00;19.910,00;19.747,00;19.597,00;18.488,00;18.279,00;17.975,00;17.444,00;17.852,00;16.891,00;16.151,00;14.488,00;11.331,00;10.380,00;8.563,00
01016;Bernedo;22.206,00;21.194,00;21.456,00;20.772,00;19.729,00;18.650,00;18.824,00;18.434,00;18.229,00;18.446,00;18.314,00;18.523,00;14.994,00;12.884,00;11.477,00;8.058,00
48018;Berriatua;23.225,00;23.323,00;20.752,00;20.688,00;19.505,00;18.978,00;18.911,00;18.779,00;17.582,00;17.278,00;16.015,00;15.734,00;14.575,00;12.692,00;11.275,00;9.290,00
48019;Berriz;23.710,00;22.353,00;21.857,00;21.791,00;21.005,00;20.601,00;20.429,00;19.513,00;18.957,00;18.664,00;18.593,00;18.588,00;16.703,00;13.353,00;12.033,00;9.290,00
20023;Berrobi;24.370,00;22.626,00;22.730,00;21.614,00;20.828,00;20.643,00;20.129,00;19.343,00;17.868,00;18.836,00;17.915,00;16.992,00;16.015,00;12.786,00;11.160,00;8.750,00
20024;Bidania-Goiatz;24.451,00;22.206,00;20.895,00;20.936,00;20.598,00;20.489,00;19.341,00;19.940,00;18.117,00;17.603,00;17.222,00;16.897,00;14.237,00;11.807,00;11.036,00;8.869,00
48020;Bilbao;25.366,00;23.592,00;22.464,00;22.659,00;21.538,00;21.245,00;20.526,00;20.313,00;19.761,00;19.717,00;19.787,00;20.081,00;18.196,00;13.922,00;12.881,00;10.546,00
48021;Busturia;22.988,00;21.082,00;21.071,00;20.482,00;19.689,00;20.043,00;18.808,00;18.827,00;18.519,00;18.785,00;18.661,00;18.681,00;16.823,00;12.139,00;11.726,00;8.961,00
01017;Campezo/Kanpezu;20.994,00;19.987,00;19.432,00;19.417,00;18.060,00;17.626,00;17.398,00;16.782,00;16.211,00;16.352,00;17.421,00;17.846,00;13.109,00;11.513,00;10.293,00;7.917,00
20029;Deba;26.256,00;26.005,00;23.183,00;23.350,00;23.760,00;23.676,00;21.333,00;20.504,00;19.394,00;19.080,00;19.679,00;20.208,00;16.843,00;13.470,00;12.523,00;9.616,00
48901;Derio;24.591,00;24.007,00;22.886,00;22.235,00;20.663,00;20.326,00;19.557,00;19.183,00;18.486,00;18.391,00;18.281,00;17.837,00;17.028,00;12.299,00;11.303,00;8.731,00
48026;Dima;26.672,00;25.135,00;24.319,00;24.147,00;22.793,00;22.000,00;21.606,00;21.062,00;20.770,00;20.632,00;20.288,00;20.334,00;18.846,00;14.926,00;13.280,00;10.696,00
20069;Donostia / San Sebastián;30.809,00;27.558,00;26.395,00;27.297,00;25.577,00;25.141,00;24.095,00;23.469,00;22.583,00;22.268,00;23.008,00;23.054,00;20.056,00;15.496,00;14.895,00;11.405,00
