Indicadores municipales de sostenibilidad: Tasa de afiliación a la Seguridad Social por municipio de residencia  (% habitantes de 16 y más años);;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
48046;Gernika-Lumo;52,86;51,39;50,61;51,45;51,81;51,00;50,23;49,02;47,82;46,92;47,34;48,56;48,67;48,09
20039;Getaria;56,61;54,16;53,35;54,24;52,42;53,31;50,25;49,68;48,66;49,38;50,29;49,53;50,61;49,75
48044;Getxo;52,41;47,56;46,72;47,59;47,31;46,70;46,18;45,88;45,28;44,54;45,22;45,76;45,51;45,45
48047;Gizaburuaga;50,61;49,09;47,09;44,64;43,20;42,53;43,45;46,11;43,02;45,03;45,66;44,97;42,86;41,92
48042;Gordexola;51,14;48,92;48,11;47,01;46,58;45,90;44,83;43,85;43,46;40,60;41,68;43,22;41,91;41,25
48043;Gorliz;47,00;44,15;43,63;45,44;44,93;45,09;43,56;43,97;43,02;41,27;41,29;41,50;42,11;40,77
48045;Güeñes;51,76;49,57;49,32;49,98;49,02;47,54;46,35;44,18;44,00;42,50;43,38;45,15;45,44;44,32
01056;Harana/Valle de Arana;40,49;33,64;32,88;33,63;33,78;36,52;36,64;37,44;38,36;35,77;33,86;35,85;36,13;35,79
20040;Hernani;55,82;54,08;52,51;55,04;53,61;53,14;51,11;49,61;48,88;47,73;48,33;50,01;50,17;51,04
20041;Hernialde;51,75;48,24;50,18;55,26;61,33;59,16;59,53;58,62;56,99;56,01;55,86;52,53;51,02;50,18
20036;Hondarribia;49,79;46,23;45,64;47,10;46,75;45,99;45,06;44,04;43,63;43,18;43,17;44,77;44,16;44,66
20042;Ibarra;57,36;54,34;52,85;52,97;53,79;53,49;53,73;54,10;52,51;51,79;52,16;54,19;53,63;55,16
48048;Ibarrangelu;31,70;32,75;33,28;38,39;37,81;36,85;34,88;33,63;33,16;33,16;32,68;31,50;31,28;32,79
20043;Idiazabal;53,85;50,84;51,13;50,36;50,64;48,64;48,92;48,78;48,84;47,81;47,08;48,54;46,94;46,67
48094;Igorre;54,73;53,51;53,68;54,45;55,39;55,02;54,34;54,65;52,38;50,74;52,72;54,51;52,99;52,75
20044;Ikaztegieta;49,63;45,61;44,89;49,13;46,17;49,02;47,55;47,87;47,26;48,72;47,41;50,78;51,56;52,21
20045;Irun;52,88;49,09;47,69;49,09;48,75;47,92;46,84;45,83;44,83;44,13;44,16;45,46;45,48;45,70
20046;Irura;63,75;59,57;59,76;60,29;59,08;58,15;57,16;55,12;55,15;54,02;52,99;52,51;50,53;48,68
01027;Iruraiz-Gauna;50,50;48,92;48,12;51,24;51,72;50,64;49,25;49,46;49,67;49,46;48,16;48,33;45,17;46,75
01901;Iruña Oka/Iruña de Oca;55,20;50,42;49,52;50,50;49,63;50,24;50,37;49,83;48,59;47,05;45,63;46,94;47,74;45,07
48049;Ispaster;44,52;45,05;43,77;44,05;42,40;41,78;42,22;42,31;41,84;40,31;39,03;38,42;39,32;38,04
20047;Itsasondo;55,45;51,95;50,18;47,24;47,83;47,36;46,22;47,02;45,01;43,88;42,72;43,55;43,45;42,78
48910;Iurreta;52,71;49,28;48,05;47,39;48,31;47,38;47,46;46,30;45,11;44,76;45,19;45,49;44,46;44,19
48050;Izurtza;50,75;53,33;48,87;43,78;45,78;46,28;47,66;51,14;48,07;44,31;40,30;42,97;45,14;53,33
48022;Karrantza Harana/Valle de Carranza;42,97;38,53;36,85;36,83;37,27;36,79;36,56;35,34;36,32;35,94;36,17;38,75;39,90;40,22
48907;Kortezubi;49,73;48,50;48,51;49,86;49,30;50,70;51,59;49,45;46,11;44,68;43,72;45,92;42,31;40,62
01019;Kripan;52,80;38,18;34,76;40,49;38,27;39,62;39,62;38,85;36,13;35,48;34,57;45,96;41,61;43,67
01020;Kuartango;42,90;39,36;39,29;43,73;44,27;40,68;42,63;41,61;37,74;38,10;40,63;42,99;40,13;39,62
01028;Labastida/Bastida;43,27;32,20;32,47;32,79;34,36;33,71;32,48;32,71;32,20;31,65;32,87;36,75;36,93;37,92
01030;Lagrán;23,46;18,67;18,34;15,76;15,29;16,56;19,25;19,88;22,70;24,05;26,67;28,57;28,25;31,61
01031;Laguardia;55,35;45,74;45,96;48,12;48,01;47,41;50,07;47,52;46,09;44,64;44,73;51,94;49,36;52,26
01032;Lanciego/Lantziego;47,02;32,00;32,56;32,04;35,47;32,94;32,32;31,64;30,86;30,33;30,45;37,33;40,69;43,44
48051;Lanestosa;31,76;25,10;27,63;26,29;24,60;23,39;20,95;24,11;23,83;23,79;21,74;26,29;26,10;22,35
01902;Lantarón;35,85;25,74;24,65;26,73;27,25;26,32;26,60;26,84;23,51;24,76;26,04;26,69;26,47;26,41
01033;Lapuebla de Labarca;54,22;38,52;39,54;40,03;40,77;40,63;41,62;40,80;40,30;40,16;43,22;59,40;56,26;64,60
48052;Larrabetzu;54,25;51,83;50,20;53,52;54,67;54,23;54,13;53,17;50,81;49,15;48,81;49,82;47,76;46,86
20048;Larraul;65,09;59,07;56,46;58,79;57,98;60,32;59,57;53,44;51,58;53,68;53,40;50,00;46,70;45,16
20902;Lasarte-Oria;52,11;49,04;47,59;49,31;49,51;48,42;48,21;47,32;46,67;46,25;46,51;48,38;48,57;49,01
01036;Laudio/Llodio;50,62;48,68;47,22;48,01;47,75;47,30;46,34;45,94;44,83;45,31;46,60;48,60;48,54;48,93
48053;Laukiz;52,24;46,84;46,35;48,48;50,58;49,11;47,78;44,63;44,36;46,38;45,65;46,32;45,70;45,47
20049;Lazkao;57,16;55,05;53,62;55,33;54,87;55,66;54,48;53,27;51,65;50,35;50,42;52,43;51,43;52,10
20050;Leaburu;58,70;58,71;56,86;54,40;60,14;54,92;51,37;51,53;50,51;51,84;47,97;47,10;46,28;47,34
20051;Legazpi;51,28;50,19;48,97;49,81;49,79;49,08;48,12;47,94;47,16;46,78;46,42;48,47;48,00;48,53
20052;Legorreta;53,25;51,75;49,39;51,25;50,72;49,11;47,33;47,78;47,07;45,68;45,53;48,71;49,65;49,96
01058;Legutio;48,53;47,70;46,63;51,34;51,38;52,78;51,84;50,03;49,34;47,87;47,03;47,77;48,77;49,10
20068;Leintz-Gatzaga;51,10;50,52;49,75;49,51;46,95;49,28;46,19;48,34;46,30;45,83;44,25;47,77;48,02;50,91
48054;Leioa;55,11;51,36;50,43;52,04;51,44;50,76;50,08;49,17;48,53;47,95;48,56;48,95;48,52;48,34
48057;Lekeitio;46,44;44,44;44,12;44,31;43,73;43,36;42,46;42,72;42,04;40,40;40,69;41,81;41,42;40,41
48055;Lemoa;53,38;51,44;50,69;50,23;49,24;48,18;47,23;46,46;44,20;42,93;43,33;43,93;44,24;42,91
48056;Lemoiz;51,22;47,17;46,38;51,30;49,22;46,11;43,30;42,13;38,56;37,59;37,08;38,99;37,24;36,42
01034;Leza;43,68;42,70;43,78;43,46;43,09;45,60;43,85;43,78;45,79;41,99;42,02;43,94;47,12;52,11
48081;Lezama;57,63;55,52;54,19;56,04;55,92;55,37;54,64;55,37;54,95;53,23;53,77;53,83;50,29;48,60
20053;Lezo;56,86;55,67;53,99;55,20;54,67;54,60;53,16;52,41;50,00;48,30;48,10;51,04;50,61;51,46
20054;Lizartza;54,04;50,09;49,17;48,81;47,70;48,87;51,80;51,63;49,36;47,51;51,25;53,38;56,32;53,87
48903;Loiu;58,10;53,18;49,74;48,76;46,59;46,56;46,38;47,30;44,69;44,68;44,38;44,33;42,43;40,14
48058;Mallabia;53,62;51,42;49,75;49,61;51,34;51,24;51,84;50,35;47,34;49,28;51,35;54,12;54,72;53,54
48060;Markina-Xemein;52,56;51,24;50,91;51,83;51,20;52,56;51,19;50,54;50,02;48,90;46,52;48,23;47,53;48,94
48061;Maruri-Jatabe;46,99;45,92;46,02;48,71;49,94;48,91;49,23;48,47;45,80;43,90;43,56;42,29;43,32;42,25
48059;Mañaria;49,31;47,91;48,94;50,46;50,59;49,77;48,97;50,92;46,82;46,46;44,77;45,93;45,23;43,58
20901;Mendaro;54,69;52,87;53,15;52,08;51,93;50,42;49,33;50,60;49,04;47,26;47,52;47,83;46,31;45,16
48062;Mendata;43,99;43,10;45,48;45,88;43,70;40,77;41,21;42,15;41,64;40,75;42,81;43,65;37,80;37,50
48063;Mendexa;46,34;45,41;44,87;41,23;41,35;39,66;40,63;38,33;38,52;36,27;35,04;36,08;34,72;36,41
