Indicadores municipales de sostenibilidad: Tasa de afiliación a la Seguridad Social por municipio de trabajo: Hombres (% hombres de 16 y más años);;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;
Entidad;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009
20038;Gabiria;53,06;47,51;45,00;41,90;50,00;49,16;46,96;47,92;46,50;44,35;42,68;43,10;55,51;57,27
20037;Gaintza;12,70;10,61;10,77;12,07;9,52;9,52;8,06;9,52;13,85;16,13;14,06;11,11;14,52;16,13
48036;Galdakao;47,89;47,63;47,25;48,05;48,49;49,57;48,99;48,18;46,28;43,46;45,81;50,55;50,38;50,41
48037;Galdames;46,49;47,66;36,34;39,58;38,20;33,68;32,81;31,51;33,07;49,74;45,30;47,89;54,43;52,53
48038;Gamiz-Fika;24,71;23,48;24,63;23,72;25,89;25,93;24,71;23,91;22,35;21,54;19,83;19,09;19,48;19,21
48039;Garai;17,52;17,02;16,06;17,65;16,54;16,28;19,05;17,19;15,27;12,41;12,06;8,33;9,03;8,76
48040;Gatika;35,99;33,19;30,96;36,36;36,11;37,25;39,39;36,60;35,42;38,00;42,04;41,16;37,39;42,66
48041;Gautegiz Arteaga;15,17;15,13;14,92;15,71;17,23;20,05;17,76;16,53;14,48;13,19;14,11;15,67;17,22;17,02
20907;Gaztelu;15,79;11,25;10,84;12,35;10,98;12,94;16,09;18,52;16,67;15,48;41,98;40,96;35,23;40,00
48046;Gernika-Lumo;35,51;36,25;35,87;35,59;36,60;35,77;34,45;33,35;32,76;30,77;32,11;34,39;35,50;36,07
20039;Getaria;50,78;51,40;51,00;53,84;53,14;53,53;51,14;48,03;48,00;49,56;50,53;51,04;53,59;49,50
48044;Getxo;26,33;26,55;25,45;25,93;26,33;26,03;26,31;26,26;25,19;26,40;25,66;26,42;26,58;26,57
48047;Gizaburuaga;131,87;130,34;141,94;128,89;126,09;124,74;129,03;132,26;120,88;121,74;100,00;116,28;152,94;142,35
48042;Gordexola;60,51;58,92;53,10;49,87;47,94;46,73;41,84;34,36;28,84;29,81;30,36;31,54;32,58;25,64
48043;Gorliz;20,06;19,18;18,01;18,22;18,44;18,05;17,44;16,89;15,79;15,36;16,29;16,95;16,97;17,16
48045;Güeñes;25,32;24,09;24,48;27,19;26,64;25,13;25,32;24,32;23,99;23,71;26,16;27,46;29,86;23,60
01056;Harana/Valle de Arana;24,56;23,20;20,97;21,88;18,60;18,66;20,44;21,21;23,88;22,22;23,29;24,68;27,44;24,39
20040;Hernani;96,64;94,69;93,24;98,37;94,11;91,89;89,50;84,67;82,91;81,56;83,66;81,41;84,11;81,63
20041;Hernialde;18,24;18,75;15,38;16,18;16,54;14,39;11,81;13,64;13,33;11,76;13,16;13,46;17,31;16,77
20036;Hondarribia;29,67;29,75;28,32;28,96;28,70;28,50;27,80;27,51;27,69;27,06;27,60;28,94;26,28;26,76
20042;Ibarra;55,94;51,83;48,52;50,92;50,20;48,76;49,15;48,46;38,87;34,34;36,62;36,64;34,60;40,75
48048;Ibarrangelu;13,23;13,75;14,73;18,53;20,00;17,01;15,62;13,65;14,53;15,09;15,73;13,88;14,79;14,34
20043;Idiazabal;101,48;96,58;98,95;103,31;98,16;96,99;100,84;99,36;93,60;91,86;88,37;91,41;92,57;106,70
48094;Igorre;107,12;110,66;113,50;124,45;128,75;128,45;121,59;109,44;110,14;107,32;110,71;117,59;118,59;120,58
20044;Ikaztegieta;83,01;81,82;78,85;84,62;75,60;73,68;62,44;62,68;64,62;86,89;87,75;93,56;90,50;84,06
20045;Irun;45,92;46,33;44,89;46,70;46,71;46,91;45,92;44,70;43,86;43,59;45,06;47,67;49,00;50,26
20046;Irura;84,89;84,07;86,96;92,93;100,42;97,85;95,34;91,45;98,61;96,37;95,77;108,48;110,13;110,99
01027;Iruraiz-Gauna;21,66;22,97;26,26;23,94;26,10;23,23;22,40;24,30;28,17;28,06;26,77;27,00;27,03;34,91
01901;Iruña Oka/Iruña de Oca;105,10;100,94;99,55;98,75;101,01;100,91;98,00;97,31;95,81;91,88;90,26;95,80;98,36;95,14
48049;Ispaster;11,11;12,23;12,38;14,87;14,15;16,23;15,48;18,51;23,93;25,08;29,62;32,04;32,46;35,88
20047;Itsasondo;102,21;94,58;89,01;87,46;84,85;86,07;90,33;86,87;88,30;89,27;95,29;96,58;97,74;102,57
48910;Iurreta;138,70;135,28;123,22;123,28;123,61;116,70;110,25;104,45;101,99;99,87;95,53;93,10;95,73;102,91
48050;Izurtza;197,62;209,65;189,55;160,90;163,64;211,56;218,84;235,43;241,09;209,21;197,59;226,32;236,73;269,47
48022;Karrantza Harana/Valle de Carranza;32,38;31,33;30,81;30,71;30,95;30,48;31,05;31,85;31,53;30,83;31,69;33,56;37,70;36,52
48907;Kortezubi;25,40;23,94;21,62;20,77;21,55;24,86;21,79;24,32;21,69;18,42;17,55;16,57;14,29;8,74
01019;Kripan;43,90;38,82;38,82;44,05;39,29;38,55;39,76;37,80;37,04;40,24;41,67;47,67;39,08;50,60
01020;Kuartango;18,09;16,49;18,04;21,69;23,50;22,99;24,86;18,82;16,94;12,78;13,33;13,11;11,30;11,48
01028;Labastida/Bastida;35,20;35,77;38,86;43,32;43,76;38,60;41,86;43,66;41,71;38,97;41,13;49,03;46,85;49,41
01030;Lagrán;47,78;48,91;46,32;45,05;36,05;34,48;31,03;32,95;37,21;37,50;43,90;45,98;44,57;47,25
01031;Laguardia;171,71;164,68;164,35;174,50;185,43;192,27;195,53;185,51;171,47;164,99;159,36;168,95;160,30;184,38
01032;Lanciego/Lantziego;68,25;60,88;61,33;59,54;60,94;60,13;58,33;62,74;55,70;53,80;47,48;56,66;62,08;64,85
48051;Lanestosa;15,08;15,60;16,43;15,22;12,77;12,50;12,06;12,95;15,22;17,16;14,93;17,04;15,91;19,20
01902;Lantarón;136,94;136,59;131,57;142,31;138,77;138,97;139,48;141,48;131,68;131,49;131,57;146,22;142,42;159,70
01033;Lapuebla de Labarca;89,15;83,12;92,61;91,25;87,94;91,47;86,40;85,45;83,07;82,46;87,63;110,05;106,87;120,98
48052;Larrabetzu;110,42;108,94;106,35;108,17;104,70;96,33;80,84;70,88;65,66;63,44;62,97;65,01;58,48;58,89
20048;Larraul;57,63;52,42;67,23;70,69;65,74;75,00;93,40;29,25;27,10;27,36;26,17;25,96;27,55;27,72
20902;Lasarte-Oria;36,05;35,41;35,02;36,22;36,85;36,67;37,38;36,81;36,91;35,23;35,33;37,28;38,87;42,25
01036;Laudio/Llodio;50,19;49,69;50,02;51,11;50,11;49,32;49,99;51,09;51,52;53,58;56,24;58,11;59,74;59,58
48053;Laukiz;17,37;15,67;14,37;15,05;15,40;15,72;16,78;15,42;15,53;16,13;21,19;21,05;21,04;23,59
20049;Lazkao;29,20;30,05;29,40;29,71;30,00;32,17;31,50;33,23;31,77;31,96;32,48;34,00;35,46;35,83
20050;Leaburu;63,53;67,90;68,71;119,16;127,67;70,59;67,33;71,33;62,58;63,40;46,62;44,52;47,13;44,12
20051;Legazpi;41,08;42,03;40,67;41,79;42,61;42,45;41,55;40,82;43,75;44,26;43,49;47,13;47,91;51,89
20052;Legorreta;65,22;64,14;63,52;62,09;62,73;59,63;57,95;56,56;54,13;45,51;46,74;63,93;45,14;44,92
01058;Legutio;237,51;228,57;227,63;244,14;250,57;252,70;249,07;235,13;231,38;224,93;246,46;266,12;292,13;301,07
20068;Leintz-Gatzaga;18,58;14,17;14,52;18,80;17,21;16,67;16,53;18,40;18,11;14,62;15,38;15,08;15,91;16,92
48054;Leioa;67,33;65,32;67,11;68,74;69,35;63,99;59,93;61,27;60,07;57,62;58,84;60,93;63,40;61,61
48057;Lekeitio;15,28;15,37;15,19;15,49;14,92;15,51;15,86;16,97;17,30;16,16;16,08;17,44;17,53;17,37
48055;Lemoa;97,41;94,53;94,13;97,37;96,39;91,08;89,08;92,84;89,41;75,07;81,82;88,01;94,80;100,51
48056;Lemoiz;16,49;14,14;13,64;13,42;13,49;12,36;13,82;13,45;12,84;12,95;12,16;16,02;13,80;13,79
01034;Leza;54,55;43,88;42,27;39,80;47,31;53,19;58,33;66,67;43,30;35,79;41,00;45,28;47,57;51,26
48081;Lezama;75,26;70,59;72,70;72,85;68,09;50,31;52,71;54,11;50,37;52,39;50,83;52,28;52,11;55,43
20053;Lezo;80,94;76,87;76,69;76,98;81,74;85,70;84,68;83,10;80,18;74,98;72,90;80,52;84,16;86,42
20054;Lizartza;53,36;44,78;40,59;40,80;42,00;42,81;40,82;36,81;36,27;35,26;36,33;37,91;36,33;37,05
48903;Loiu;473,27;438,24;409,37;422,28;411,83;422,47;422,10;425,78;413,03;373,02;353,19;378,24;369,79;351,68
48058;Mallabia;288,80;265,87;240,95;227,59;221,54;202,13;190,31;195,53;185,42;191,27;202,84;212,21;217,44;216,35
48060;Markina-Xemein;42,46;38,20;37,79;39,46;39,85;40,55;39,71;39,06;37,65;36,05;33,85;35,26;37,25;41,17
48061;Maruri-Jatabe;25,06;23,35;24,75;27,01;25,19;26,65;25,70;26,95;23,88;22,44;20,95;22,74;22,14;25,19
48059;Mañaria;53,15;55,91;55,02;58,17;55,98;56,68;54,22;53,74;53,28;58,74;61,73;67,76;68,42;69,23
20901;Mendaro;127,24;124,46;132,31;130,35;122,60;115,54;111,62;116,31;114,70;112,06;113,59;105,15;102,33;100,86
48062;Mendata;16,47;15,03;14,53;11,54;12,09;10,00;10,80;10,00;11,45;10,78;14,11;13,61;10,34;11,86
48063;Mendexa;23,90;24,04;24,75;22,06;21,80;21,23;21,95;17,79;21,43;24,39;26,13;30,00;29,65;29,32
