Indicadores municipales de sostenibilidad: Porcentaje de establecimientos del sector primario sobre el total (%);;;;;;;;;;;;;
"";;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
20045;Irun;0,54;0,55;0,70;0,72;0,80;0,67;0,74;0,71;0,82;0,97;1,00;0,90
20046;Irura;0,00;0,00;0,60;0,61;0,60;0,60;0,62;1,23;1,23;1,21;1,23;0,00
01027;Iruraiz-Gauna;53,62;54,55;55,71;62,50;62,82;61,19;64,18;61,29;64,06;67,21;67,16;64,91
01901;Iruña Oka/Iruña de Oca;6,08;6,37;6,40;7,11;7,41;6,67;7,32;6,91;7,14;7,02;7,41;7,02
48049;Ispaster;21,74;18,75;24,07;25,93;27,45;24,00;27,08;29,17;30,19;35,09;39,66;30,77
20047;Itsasondo;3,03;2,70;2,86;7,50;7,32;6,67;7,14;7,50;11,36;15,00;13,51;5,56
48910;Iurreta;6,30;5,56;5,85;6,35;6,61;6,47;5,87;5,32;5,26;5,35;6,85;5,44
48050;Izurtza;10,64;8,51;10,87;12,77;10,26;5,13;5,00;4,44;12,00;12,50;16,33;14,00
48022;Karrantza Harana/Valle de Carranza;50,27;49,86;52,76;55,20;54,90;50,26;50,26;47,76;49,47;52,25;52,59;50,62
48907;Kortezubi;30,00;30,77;36,67;37,93;35,48;35,29;36,84;34,15;34,78;40,43;52,08;48,89
01019;Kripan;71,43;72,41;73,33;76,47;76,47;75,76;78,12;79,31;71,43;71,43;75,00;71,88
01020;Kuartango;45,45;46,51;47,06;45,45;51,28;57,14;53,66;53,66;51,35;55,56;56,41;44,44
01028;Labastida/Bastida;26,79;26,35;31,79;34,62;35,33;31,32;32,39;29,38;30,65;29,35;31,58;26,34
01030;Lagrán;20,00;27,78;31,82;36,00;40,91;44,44;48,00;42,86;45,83;48,15;48,15;40,74
01031;Laguardia;19,78;19,52;20,75;24,82;24,41;21,50;20,99;19,79;19,58;18,30;20,37;17,42
01032;Lanciego/Lantziego;40,72;40,62;43,21;49,72;50,00;42,68;40,14;34,27;40,28;40,14;42,86;41,10
48051;Lanestosa;18,52;21,43;30,00;29,63;32,00;24,00;30,77;27,59;28,12;31,43;36,11;34,38
01902;Lantarón;36,84;36,36;38,94;42,61;43,90;38,53;39,47;35,29;32,29;32,69;33,33;31,78
01033;Lapuebla de Labarca;51,46;52,44;51,72;57,87;57,21;48,19;49,40;41,72;46,25;44,17;46,75;43,98
48052;Larrabetzu;4,86;4,74;4,86;6,11;7,74;9,20;10,97;10,39;9,87;9,55;11,80;9,82
20048;Larraul;20,83;26,09;20,00;23,08;26,92;27,59;27,59;33,33;34,38;32,35;33,33;26,47
20902;Lasarte-Oria;1,27;1,28;1,25;1,34;1,14;0,96;1,19;1,17;1,47;1,45;1,52;1,36
01036;Laudio/Llodio;2,93;2,67;3,32;3,75;3,68;3,57;3,52;3,09;3,07;3,49;4,15;3,56
48053;Laukiz;5,32;5,62;5,81;5,75;4,30;5,43;6,90;9,30;17,05;19,10;18,28;13,27
20049;Lazkao;4,17;4,97;4,75;4,71;4,75;4,36;3,24;4,30;4,72;6,32;6,15;5,64
20050;Leaburu;5,56;5,88;6,06;8,57;6,25;3,12;2,70;12,50;15,38;18,60;18,60;17,07
20051;Legazpi;1,48;1,62;2,73;2,70;2,97;3,44;4,18;4,73;4,72;4,81;4,77;3,68
20052;Legorreta;3,30;3,45;3,41;4,71;3,33;3,41;3,41;3,53;9,20;15,46;15,89;11,88
01058;Legutio;5,60;5,58;6,69;7,37;7,07;5,07;5,71;5,78;4,88;5,57;5,57;4,32
