Indicadores municipales de sostenibilidad: Hombres beneficiarios de Renta de Garantía de Ingresos (? hombres);;;;;;;;;;;
"";;;;;;;;;;;
Resumen de datos;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014
20066;Errezil;12,20;9,26;6,33;3,12;2,92;5,83;8,62;8,65;8,90;21,60
01046;Erriberagoitia/Ribera Alta;13,65;13,83;12,12;10,22;2,08;4,16;4,23;4,28;8,71;6,28
48079;Errigoiti;10,68;7,07;3,58;7,35;11,36;7,52;14,71;10,95;10,68;10,87
20034;Eskoriatza;16,81;12,29;15,78;11,49;12,65;14,67;16,95;19,74;14,88;17,66
48029;Etxebarri;9,40;8,50;9,13;10,08;8,95;11,32;12,11;12,74;12,98;15,14
48030;Etxebarria;26,16;23,05;30,90;25,14;19,23;30,30;33,99;28,65;37,57;36,52
20035;Ezkio-Itsaso;9,23;9,09;5,92;5,90;11,59;11,43;8,77;8,96;6,10;9,12
48906;Forua;6,47;8,87;13,30;24,23;31,60;24,55;19,78;26,37;27,78;29,29
48035;Fruiz;18,45;14,93;11,28;18,66;14,55;22,22;18,66;18,38;7,30;7,27
20038;Gabiria;3,22;3,34;0,00;3,32;3,40;0,00;0,00;0,00;0,00;0,00
20037;Gaintza;0,00;0,00;0,00;0,00;0,00;0,00;14,08;14,29;0,00;0,00
48036;Galdakao;9,30;6,10;7,14;7,85;7,55;7,52;9,39;9,40;9,78;10,67
48037;Galdames;27,52;22,57;20,27;22,42;22,83;30,09;34,48;32,41;29,82;25,29
48038;Gamiz-Fika;21,83;14,41;13,01;14,51;16,59;24,32;25,88;13,60;20,99;21,15
48039;Garai;6,10;6,33;6,25;12,50;12,90;6,33;6,41;6,49;6,45;6,37
48040;Gatika;8,53;7,43;7,31;8,37;6,09;10,87;14,49;13,24;13,30;11,98
48041;Gautegiz Arteaga;10,85;8,71;11,16;13,61;18,39;11,36;11,31;13,79;13,86;13,79
20907;Gaztelu;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48046;Gernika-Lumo;14,42;12,80;12,12;11,80;13,03;14,97;16,73;20,61;22,98;24,26
20039;Getaria;7,44;7,59;8,33;12,61;9,89;13,31;16,88;14,31;10,65;15,84
48044;Getxo;16,30;14,44;14,02;13,49;13,80;13,80;13,99;14,49;16,86;16,70
48047;Gizaburuaga;26,32;9,01;9,62;0,00;9,43;18,02;8,62;17,54;26,32;35,71
48042;Gordexola;11,49;12,60;15,84;19,10;17,90;20,07;19,32;19,25;22,78;23,95
48043;Gorliz;18,16;15,80;16,81;17,21;16,25;15,87;20,79;23,91;22,95;23,42
48045;Güeñes;25,39;24,31;29,17;27,07;28,27;34,33;35,54;39,67;38,19;36,63
01056;Harana/Valle de Arana;0,00;0,00;0,00;7,46;14,81;21,90;21,13;34,72;35,46;27,78
20040;Hernani;20,23;16,91;16,54;16,34;16,38;17,38;20,91;21,05;22,30;21,57
20041;Hernialde;0,00;0,00;0,00;0,00;0,00;0,00;6,25;6,41;6,21;18,07
20036;Hondarribia;8,75;7,24;7,70;9,49;7,84;8,96;10,64;11,21;11,08;11,87
20042;Ibarra;13,49;10,50;13,33;13,50;12,26;11,40;15,72;16,75;19,22;18,34
48048;Ibarrangelu;11,08;13,70;14,12;11,43;9,40;9,38;12,27;12,12;12,16;15,43
20043;Idiazabal;5,98;5,98;6,73;9,24;5,85;4,15;4,16;5,85;7,61;8,42
48094;Igorre;18,89;20,27;21,03;18,28;14,65;13,85;20,00;20,67;20,65;22,42
20044;Ikaztegieta;23,72;24,79;24,10;16,19;27,67;27,13;19,69;19,76;20,08;23,81
20045;Irun;18,83;16,34;18,09;17,65;15,72;15,51;17,75;18,91;18,83;17,65
20046;Irura;16,72;14,64;9,28;11,42;6,31;12,79;17,04;21,67;18,64;13,76
01027;Iruraiz-Gauna;6,15;6,21;6,23;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01901;Iruña Oka/Iruña de Oca;12,93;11,83;14,24;14,02;13,43;12,14;10,73;10,94;10,51;9,54
48049;Ispaster;10,70;13,12;15,58;12,66;17,68;17,77;20,67;18,28;20,83;13,51
20047;Itsasondo;46,65;32,35;30,03;32,26;19,34;27,93;23,32;23,95;24,46;20,90
48910;Iurreta;21,53;21,73;22,08;22,18;17,43;17,85;26,68;24,89;25,92;29,09
48050;Izurtza;19,23;6,58;29,63;31,85;27,32;27,47;28,09;25,00;27,59;20,41
48022;Karrantza Harana/Valle de Carranza;40,70;37,59;39,15;37,47;39,38;42,39;44,16;46,64;46,58;39,44
48907;Kortezubi;0,00;0,00;0,00;0,00;4,67;9,17;9,17;9,30;9,01;21,83
01019;Kripan;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01020;Kuartango;9,13;4,52;13,10;13,22;13,89;9,52;9,39;4,74;9,62;0,00
01028;Labastida/Bastida;37,56;40,60;32,61;31,36;30,19;31,41;27,06;24,77;24,48;27,06
01030;Lagrán;10,20;20,20;9,80;29,41;21,05;10,99;0,00;10,75;32,97;11,49
01031;Laguardia;10,50;15,38;19,28;15,93;15,85;20,68;22,84;20,73;22,00;16,85
01032;Lanciego/Lantziego;38,96;33,42;34,65;43,37;34,31;47,00;44,20;47,35;36,41;36,21
48051;Lanestosa;35,97;27,78;26,14;39,22;32,89;38,71;52,98;45,45;59,60;33,33
01902;Lantarón;17,54;12,48;9,01;9,17;9,47;9,38;5,68;11,41;9,75;15,27
01033;Lapuebla de Labarca;33,86;38,20;39,82;33,71;33,19;37,36;37,53;30,37;13,10;13,13
48052;Larrabetzu;17,84;13,65;12,75;12,61;8,08;10,10;17,17;16,23;19,06;14,04
20048;Larraul;6,94;6,85;27,03;13,33;0,00;0,00;0,00;0,00;0,00;0,00
20902;Lasarte-Oria;13,90;11,77;12,27;11,21;10,41;9,87;12,42;16,56;18,45;17,60
01036;Laudio/Llodio;17,60;15,14;16,38;16,81;16,59;17,69;19,69;20,70;23,37;24,78
